#{"env_id": null, "t_start": 1589010681.6361809}
r,l,t,score
70,175,1832.999891,70
111,859,1846.521402,111
40,199,1849.302125,40
81,519,1857.456552,81
55,254,1861.410748,55
106,749,1872.952591,106
92,476,1880.680666,92
93,439,1887.137002,93
81,341,1892.642151,81
98,915,1906.86029,98
62,594,1916.489707,62
87,507,1924.424644,87
51,212,1927.311796,51
0,94,1928.991798,0
54,494,1936.814652,54
101,718,1948.188718,101
75,259,1952.223077,75
55,244,1956.065843,55
85,601,1965.100396,85
79,906,1979.216053,79
91,567,1987.472034,91
100,2999,2028.071858,100
35,684,2038.033401,35
68,625,2046.064577,68
56,244,2049.441766,56
48,140,2051.271356,48
71,402,2057.249383,71
85,703,2066.699076,85
64,166,2068.808375,64
90,985,2082.712614,90
51,199,2086.091745,51
129,1435,2108.153757,129
119,638,2118.054783,119
91,648,2128.198272,91
49,398,2134.383873,49
88,326,2139.753704,88
68,159,2142.043999,68
112,685,2151.966739,112
41,171,2154.339401,41
92,1212,2172.287619,92
131,782,2183.700208,131
62,173,2186.072861,62
83,262,2189.981282,83
73,287,2194.62904,73
94,514,2202.370058,94
124,1011,2217.460635,124
60,171,2219.888294,60
49,779,2231.683747,49
65,284,2235.701223,65
87,905,2249.344993,87
82,349,2254.671616,82
95,490,2262.078495,95
91,372,2267.693145,91
100,1376,2288.934917,100
80,395,2295.017457,80
60,536,2303.04295,60
167,1130,2320.589388,167
37,265,2324.813728,37
134,951,2339.077469,134
26,77,2340.565211,26
75,934,2354.781004,75
23,115,2356.672427,23
156,1200,2374.784816,156
47,189,2378.128488,47
93,636,2388.161431,93
118,765,2400.02669,118
84,328,2404.79347,84
66,121,2406.683436,66
53,106,2408.501779,53
72,290,2412.882008,72
80,429,2419.97093,80
32,49,2420.45957,32
77,319,2425.735703,77
47,127,2427.739845,47
83,254,2431.492087,83
79,446,2438.002425,79
111,1178,2455.895709,111
10,32,2456.237061,10
5,26,2457.176329,5
48,188,2459.801662,48
83,416,2466.098089,83
111,833,2479.451276,111
77,559,2487.949069,77
112,433,2494.934001,112
57,324,2499.669163,57
71,295,2503.932887,71
90,650,2514.443431,90
79,370,2519.52371,79
105,455,2526.84697,105
54,242,2530.755077,54
96,793,2542.941913,96
67,154,2545.173672,67
104,333,2550.547134,104
106,878,2564.203508,106
95,874,2578.059316,95
52,132,2580.121841,52
134,1867,2608.484249,134
112,601,2618.110094,112
93,402,2624.250085,93
111,648,2634.451956,111
88,526,2642.614614,88
53,290,2646.961021,53
131,1026,2662.711007,131
83,332,2667.906122,83
99,1085,2685.004938,99
40,351,2690.127675,40
97,575,2699.212529,97
79,305,2703.698217,79
88,581,2712.784122,88
89,1354,2733.251519,89
32,66,2734.578206,32
100,1223,2752.923381,100
46,245,2756.712606,46
77,698,2767.742528,77
70,672,2778.152104,70
89,697,2788.908282,89
89,368,2794.867881,89
196,852,2807.910459,196
131,1024,2823.589699,131
94,673,2833.711253,94
88,627,2843.420336,88
71,752,2855.049225,71
78,289,2859.292885,78
141,899,2872.944796,141
78,355,2878.605795,78
100,1397,2899.980965,100
76,230,2903.656708,76
92,437,2910.005656,92
71,347,2915.596506,71
71,700,2926.180128,71
65,910,2940.132816,65
82,505,2947.994925,82
44,156,2951.010169,44
104,705,2961.571566,104
73,644,2971.534754,73
12,87,2972.988642,12
37,149,2975.162589,37
73,329,2980.556145,73
97,2391,3016.791017,97
59,689,3027.738158,59
91,810,3039.860869,91
98,779,3051.584395,98
83,282,3055.784731,83
155,1740,3082.58906,155
134,924,3096.487882,134
88,248,3100.386256,88
57,185,3103.014857,57
107,459,3110.390664,107
105,358,3116.10369,105
121,1239,3135.28492,121
79,321,3140.082642,79
83,783,3152.312951,83
90,332,3157.758636,90
97,361,3163.440955,97
132,1587,3187.794092,132
120,501,3195.679562,120
100,319,3200.349269,100
60,492,3208.147658,60
83,178,3211.315798,83
83,327,3216.171713,83
100,708,3227.559366,100
52,153,3229.839614,52
115,952,3244.473533,115
66,243,3506.554163,66
115,650,3516.518759,115
129,911,3530.728343,129
119,716,3542.106446,119
110,835,3555.324796,110
85,316,3559.957495,85
181,1323,3579.975391,181
121,800,3591.48393,121
94,393,3596.790153,94
89,297,3600.676899,89
114,796,3611.461693,114
157,1099,3626.568969,157
54,315,3630.655392,54
97,559,3638.735065,97
116,533,3645.881303,116
64,648,3654.757332,64
97,418,3660.960916,97
134,593,3670.109184,134
76,127,3672.077244,76
21,728,3683.357566,21
99,399,3690.054382,99
80,300,3694.567061,80
87,467,3702.169675,87
114,454,3709.111484,114
139,923,3722.983241,139
136,748,3734.714401,136
142,1304,3754.853106,142
178,775,3766.708577,178
137,2203,3800.788125,137
120,807,3813.247477,120
87,828,3825.58897,87
114,449,3832.83266,114
81,237,3836.543415,81
126,937,3850.184585,126
96,859,3863.013116,96
184,1345,3882.623185,184
140,344,3888.044963,140
0,61,3888.695704,0
0,104,3890.383616,0
10,63,3891.65639,10
0,94,3892.713637,0
0,60,3893.955367,0
0,82,3895.397379,0
0,60,3896.095168,0
0,78,3897.50201,0
0,97,3898.546337,0
0,63,3899.803032,0
0,37,3900.219084,0
0,49,3901.335727,0
