#{"env_id": null, "t_start": 1593475393.4799285}
r,l,t,score,ghosts,win,d
27,583,663.002579,177,2,0,0
32,670,669.788726,182,3,0,0
20,946,678.739361,170,1,0,0
-9,450,683.497604,141,2,0,0
15,332,686.706707,165,3,0,0
23,567,692.592442,173,2,0,0
66,413,696.856284,216,4,0,0
115,369,700.702146,265,3,0,0
35,402,704.68492,185,4,0,0
91,1079,715.31674,241,2,0,0
77,398,719.323933,227,1,0,0
-23,313,722.123399,127,1,0,0
-87,114,723.323688,63,4,0,0
-71,159,724.892548,79,4,0,0
13,386,728.748368,163,3,0,0
115,584,734.852082,265,2,0,0
0,328,737.975557,150,4,0,0
27,614,744.055406,177,1,0,0
28,530,749.151071,178,1,0,0
37,187,751.367998,187,4,0,0
-4,565,756.805074,146,1,0,0
26,754,764.181235,176,1,0,0
5,203,766.452265,155,4,0,0
28,449,770.668298,178,1,0,0
68,494,775.768129,218,2,0,0
32,521,781.036197,182,2,0,0
85,689,788.007494,235,2,0,0
-55,228,790.03131,95,3,0,0
-36,645,796.34222,114,1,0,0
-29,1510,811.262555,121,1,0,0
71,603,817.402189,221,1,0,0
101,548,822.960328,251,3,0,0
32,1090,834.093542,182,2,0,0
59,391,838.139634,209,2,0,0
1,162,839.728912,151,4,0,0
83,2999,867.739155,183,1,0,0
-95,89,868.809646,55,4,0,0
25,1234,881.08999,175,1,0,0
60,507,886.057217,210,2,0,0
-33,198,888.036695,117,4,0,0
-17,691,895.545389,133,4,0,0
-67,336,898.879058,83,2,0,0
80,248,901.5117,230,4,0,0
-30,473,906.396033,120,1,0,0
-14,224,908.853613,136,4,0,0
-54,289,911.916255,96,4,0,0
9,170,913.545726,159,3,0,0
-69,125,914.850389,81,4,0,0
12,1279,927.201588,162,1,0,0
4,418,931.437535,154,2,0,0
38,255,934.007596,188,4,0,0
35,264,937.017984,185,4,0,0
-12,708,943.836634,138,1,0,0
-21,306,946.906348,129,4,0,0
10,273,949.777329,160,2,0,0
23,282,952.560204,173,4,0,0
38,295,955.428207,188,4,0,0
-86,267,958.125179,64,2,0,0
-13,285,960.95192,137,3,0,0
-24,370,964.652186,126,1,0,0
-17,361,968.409613,133,3,0,0
-10,458,973.037679,140,1,0,0
-33,182,974.774611,117,3,0,0
49,1188,986.298177,199,1,0,0
-25,368,990.139152,125,2,0,0
90,334,993.574859,240,3,0,0
-39,268,996.24914,111,4,0,0
10,241,998.886129,160,4,0,0
-12,427,1003.238033,138,4,0,0
35,503,1008.15331,185,2,0,0
88,255,1010.649141,238,3,0,0
-11,334,1014.030113,139,2,0,0
9,355,1017.350786,159,2,0,0
-17,534,1022.984262,133,2,0,0
14,407,1026.927613,164,2,0,0
66,218,1029.270028,216,4,0,0
38,365,1032.619168,188,2,0,0
3,223,1034.962449,153,2,0,0
16,207,1037.196712,166,2,0,0
51,326,1040.356499,201,4,0,0
-36,184,1042.47937,114,3,0,0
65,288,1045.385921,215,4,0,0
138,527,1050.6911,288,2,0,0
-41,306,1053.682411,109,3,0,0
0,185,1055.661555,150,3,0,0
63,1072,1065.728229,213,1,0,0
67,283,1068.833128,217,3,0,0
73,794,1076.386689,223,2,0,0
49,946,1085.788042,199,1,0,0
-55,164,1087.461617,95,4,0,0
113,650,1093.59878,263,2,0,0
18,324,1097.024544,168,3,0,0
69,703,1103.611676,219,1,0,0
26,416,1108.054357,176,2,0,0
64,757,1115.561247,214,3,0,0
18,352,1119.07556,168,4,0,0
88,556,1124.834301,238,2,0,0
