#{"env_id": null, "t_start": 1593475393.4799285}
r,l,t,score,ghosts,win,d
882,296,24203.820828,882,3,1,0
727,323,24206.832958,777,3,1,0
184,446,24211.252183,334,3,0,0
140,291,24214.13507,290,3,0,0
724,336,24217.452599,774,1,1,0
240,337,24220.604897,390,4,0,0
91,291,24223.924668,241,3,0,0
190,350,24227.316355,340,3,0,0
191,664,24233.861771,341,3,0,0
110,390,24237.684563,260,3,0,0
787,523,24242.674766,887,2,1,0
764,386,24246.349618,864,3,1,0
724,336,24249.38465,824,2,1,0
727,322,24252.72269,827,3,1,0
767,870,24261.024109,817,2,1,0
241,699,24267.751516,391,4,0,0
775,580,24273.261753,775,1,1,0
91,202,24275.200579,241,4,0,0
800,455,24279.884186,850,3,1,0
639,512,24284.871581,739,3,1,0
844,487,24289.824914,894,2,1,0
137,361,24293.127918,287,3,0,0
138,426,24297.672813,288,3,0,0
738,516,24302.584125,738,1,1,0
784,285,24305.179129,834,1,1,0
709,411,24309.115028,759,2,1,0
190,452,24313.736588,340,2,0,0
140,542,24318.876075,290,2,0,0
138,439,24322.867244,288,1,0,0
99,251,24325.336396,249,3,0,0
137,484,24330.154704,287,3,0,0
181,648,24336.357227,331,2,0,0
221,298,24339.667062,371,4,0,0
237,655,24345.966286,387,3,0,0
746,479,24350.342646,846,2,1,0
91,1339,24363.154217,241,1,0,0
241,2999,24390.432355,291,1,0,0
709,664,24396.637325,809,2,1,0
718,618,24402.383137,818,2,1,0
776,579,24408.048774,876,3,1,0
682,795,24415.650421,782,3,1,0
141,370,24419.383016,291,4,0,0
240,2999,24446.644331,290,1,0,0
137,302,24449.8713,287,4,0,0
241,353,24453.088135,391,3,0,0
136,465,24457.632546,286,4,0,0
285,368,24461.27083,435,4,0,0
135,363,24464.882254,285,3,0,0
191,400,24468.769909,341,4,0,0
88,746,24475.419726,238,1,0,0
534,1286,24486.508634,584,1,1,0
179,424,24490.305357,329,3,0,0
737,523,24495.165496,837,3,1,0
239,528,24500.188654,389,4,0,0
238,1688,24516.087417,388,3,0,0
759,414,24519.905063,809,3,1,0
141,613,24525.427106,291,2,0,0
213,415,24529.387584,363,3,0,0
141,802,24536.623313,291,3,0,0
759,412,24540.294046,809,2,1,0
238,312,24543.57945,388,4,0,0
138,908,24552.271004,288,4,0,0
149,242,24554.576866,299,3,0,0
285,371,24558.215418,435,4,0,0
190,393,24561.94017,340,3,0,0
696,726,24568.170071,746,1,1,0
141,1318,24580.335221,291,2,0,0
782,297,24582.978257,832,2,1,0
221,357,24586.601457,371,4,0,0
134,444,24590.739412,284,3,0,0
678,569,24596.067441,778,1,1,0
185,326,24598.918929,335,3,0,0
231,484,24603.415439,381,3,0,0
617,1124,24613.43179,667,1,1,0
134,342,24616.567596,284,4,0,0
41,142,24618.30775,191,4,0,0
141,674,24624.255734,291,2,0,0
85,372,24627.861054,235,4,0,0
223,367,24631.468111,373,4,0,0
108,265,24633.929659,258,4,0,0
710,406,24637.663405,760,1,1,0
805,432,24641.52063,855,2,1,0
786,525,24646.185343,786,1,1,0
224,369,24649.746323,374,2,0,0
140,1150,24659.947464,290,2,0,0
612,1146,24670.142038,662,2,1,0
239,387,24673.819611,389,4,0,0
279,340,24677.150703,429,4,0,0
161,253,24679.667273,311,4,0,0
762,398,24683.268197,812,1,1,0
635,1032,24692.927349,735,3,1,0
774,339,24696.221096,774,1,1,0
678,568,24701.140543,728,1,1,0
794,488,24705.537541,794,2,1,0
190,748,24712.49608,340,3,0,0
241,551,24717.39643,391,2,0,0
704,685,24723.35731,804,2,1,0
231,521,24728.321019,381,4,0,0
693,493,24732.870676,793,2,1,0
238,376,24736.450889,388,3,0,0
681,800,24743.344087,681,1,1,0
848,469,24747.79747,848,3,1,0
90,396,24751.487457,240,3,0,0
227,292,24754.197289,377,4,0,0
711,402,24758.077837,811,1,1,0
719,360,24760.893839,769,1,1,0
985,534,24766.073815,1035,3,1,0
764,638,24771.821069,764,1,1,0
773,344,24774.676742,823,3,1,0
739,512,24779.354016,839,2,1,0
817,370,24782.855117,817,2,1,0
820,358,24786.157512,920,3,1,0
669,363,24789.58733,769,3,1,0
187,295,24792.341086,337,4,0,0
770,359,24795.574204,770,1,1,0
86,341,24798.882641,236,2,0,0
820,355,24801.780006,820,2,1,0
725,331,24805.07001,825,2,1,0
719,361,24808.422645,819,4,1,0
51,245,24810.781404,201,3,0,0
722,347,24813.380949,822,3,1,0
136,87,24814.243644,286,4,0,0
140,480,24818.967026,290,3,0,0
190,1134,24829.781426,340,3,0,0
139,609,24835.50156,289,3,0,0
714,388,24839.141085,764,2,1,0
226,311,24842.425226,376,4,0,0
656,678,24848.658927,756,2,1,0
173,272,24851.45226,323,3,0,0
20,121,24852.750927,170,4,0,0
579,810,24860.488697,679,2,1,0
716,375,24863.995137,766,1,1,0
138,391,24867.92911,288,4,0,0
821,350,24871.030383,821,1,1,0
240,347,24874.563539,390,4,0,0
725,330,24877.768851,825,2,1,0
722,348,24880.7958,822,1,1,0
229,266,24883.419035,379,3,0,0
209,263,24886.068211,359,4,0,0
810,407,24890.265362,810,2,1,0
779,312,24893.212019,829,3,1,0
138,337,24896.748728,288,4,0,0
184,755,24904.023704,334,3,0,0
182,407,24907.967069,332,4,0,0
81,464,24912.254556,231,1,0,0
642,495,24917.042866,742,1,1,0
673,593,24923.031553,773,3,1,0
139,440,24927.190812,289,4,0,0
653,442,24931.706536,753,2,1,0
141,378,24935.369804,291,3,0,0
800,459,24939.570782,900,3,1,0
204,247,24942.142771,354,4,0,0
815,380,24945.898413,865,4,1,0
219,280,24948.736609,369,3,0,0
743,744,24955.81078,743,1,1,0
758,415,24959.662796,758,1,1,0
804,436,24964.128456,904,3,1,0
174,341,24967.65117,324,3,0,0
189,300,24970.535518,339,3,0,0
191,521,24975.598855,341,2,0,0
711,403,24979.459192,811,2,1,0
80,347,24983.013217,230,2,0,0
760,408,24986.892095,810,1,1,0
137,441,24990.961677,287,2,0,0
776,325,24994.403249,876,4,1,0
82,354,24997.903164,232,2,0,0
59,141,24999.275528,209,3,0,0
115,268,25001.952133,265,3,0,0
817,374,25005.802315,917,3,1,0
823,342,25009.343289,923,4,1,0
656,926,25017.933659,756,2,1,0
191,664,25024.186895,341,3,0,0
723,342,25027.530232,773,1,1,0
698,718,25034.489909,748,2,1,0
776,329,25037.902801,876,4,1,0
759,411,25041.862181,759,1,1,0
191,1043,25051.521331,341,2,0,0
722,595,25057.292323,772,2,1,0
829,310,25060.180876,829,1,1,0
626,576,25065.771098,726,1,1,0
698,716,25072.154263,798,1,1,0
91,1202,25083.631585,241,1,0,0
180,330,25086.77112,330,4,0,0
749,462,25091.343737,749,2,1,0
694,487,25096.264288,794,4,1,0
653,443,25100.293942,753,1,1,0
684,538,25105.294712,784,1,1,0
238,765,25112.691443,388,3,0,0
738,515,25117.656109,788,1,1,0
211,207,25119.907995,361,4,0,0
173,302,25122.728189,323,4,0,0
74,295,25125.900249,224,4,0,0
770,355,25129.011402,820,2,1,0
759,411,25133.128053,809,1,1,0
188,325,25136.268355,338,4,0,0
124,304,25139.577748,274,4,0,0
716,375,25143.170256,766,1,1,0
666,375,25146.424454,766,2,1,0
732,548,25151.944447,782,2,1,0
96,326,25154.993978,246,2,0,0
188,466,25159.495932,338,3,0,0
875,334,25163.118246,975,4,1,0
715,380,25166.608264,815,3,1,0
158,233,25168.983021,308,4,0,0
851,454,25173.659253,901,2,1,0
102,149,25175.157175,252,3,0,0
718,617,25181.057226,768,2,1,0
877,323,25184.132036,927,3,1,0
769,613,25190.088497,769,1,1,0
141,984,25199.240885,291,1,0,0
238,383,25202.925034,388,3,0,0
87,347,25206.480278,237,2,0,0
683,794,25214.044918,733,1,1,0
191,822,25221.663297,341,3,0,0
76,281,25224.463631,226,3,0,0
687,522,25229.277712,737,1,1,0
141,563,25234.984751,291,4,0,0
230,408,25239.070026,380,3,0,0
783,290,25241.829173,833,2,1,0
157,267,25244.474942,307,3,0,0
777,323,25247.706017,827,2,1,0
122,309,25250.75399,272,4,0,0
189,356,25254.326259,339,4,0,0
742,498,25259.170714,792,2,1,0
677,821,25266.692011,727,1,1,0
133,191,25268.764688,283,4,0,0
715,631,25274.600853,715,1,1,0
763,390,25278.247275,813,2,1,0
-39,60,25278.694445,111,4,0,0
699,964,25288.160963,799,2,1,0
659,413,25292.201472,759,2,1,0
86,334,25295.43136,236,2,0,0
179,297,25298.323261,329,3,0,0
187,300,25301.142225,337,4,0,0
806,429,25305.383199,806,1,1,0
241,744,25312.683513,391,2,0,0
754,439,25316.564581,754,1,1,0
106,250,25319.072786,256,2,0,0
700,708,25325.871074,800,3,1,0
195,253,25328.573035,345,4,0,0
190,494,25333.439357,340,3,0,0
171,364,25337.11283,321,4,0,0
64,105,25338.337137,214,4,0,0
172,385,25342.151639,322,4,0,0
141,671,25348.488241,291,2,0,0
13,111,25349.73266,163,4,0,0
96,329,25353.128678,246,2,0,0
615,630,25359.316563,715,2,1,0
225,275,25362.027504,375,4,0,0
763,392,25365.498191,763,1,1,0
686,529,25370.49785,736,2,1,0
691,752,25377.505939,791,1,1,0
818,368,25381.046249,868,3,1,0
567,1373,25393.895534,617,1,1,0
141,536,25399.295547,291,3,0,0
191,532,25404.471531,341,4,0,0
726,1076,25414.390604,776,2,1,0
249,202,25416.665892,399,4,0,0
874,337,25419.737022,924,2,1,0
652,446,25423.982673,752,1,1,0
869,360,25427.647929,969,4,1,0
730,557,25432.770533,730,1,1,0
880,306,25435.672798,930,3,1,0
652,1198,25447.161285,702,2,1,0
134,736,25453.79255,284,1,0,0
840,507,25458.717953,840,1,1,0
474,2085,25477.640536,474,1,1,0
810,405,25481.414517,860,3,1,0
592,999,25490.666898,642,1,1,0
628,819,25498.118465,728,1,1,0
288,325,25501.480393,438,4,0,0
829,314,25504.22519,829,1,1,0
795,482,25508.819879,795,1,1,0
291,662,25515.349181,441,4,0,0
134,321,25518.558663,284,3,0,0
756,429,25522.435796,806,2,1,0
127,314,25525.380623,277,4,0,0
801,454,25529.625664,801,1,1,0
756,429,25533.654021,756,3,1,0
85,324,25536.91582,235,2,0,0
799,460,25541.143078,799,2,1,0
754,438,25545.444584,804,2,1,0
655,682,25551.986737,755,3,1,0
652,446,25556.398407,752,3,1,0
138,488,25560.917999,288,2,0,0
191,332,25564.384634,341,3,0,0
90,288,25567.353518,240,3,0,0
240,630,25573.746715,390,4,0,0
691,1002,25583.156315,741,1,1,0
729,313,25586.068107,829,2,1,0
141,491,25590.750027,291,1,0,0
140,348,25594.2025,290,3,0,0
181,294,25597.111472,331,4,0,0
751,453,25601.429704,751,1,1,0
89,244,25603.981948,239,4,0,0
191,433,25608.141677,341,4,0,0
696,476,25612.642492,796,1,1,0
728,318,25615.37612,828,1,1,0
831,301,25618.666515,881,3,1,0
794,485,25622.94856,844,1,1,0
238,369,25626.677121,388,4,0,0
210,216,25628.986519,360,4,0,0
191,698,25635.166517,341,1,0,0
193,253,25637.729301,343,3,0,0
735,283,25640.697468,785,1,1,0
288,327,25643.719429,438,4,0,0
191,502,25648.48328,341,2,0,0
278,308,25651.686396,428,4,0,0
240,358,25654.980927,390,4,0,0
287,677,25661.710391,437,3,0,0
186,300,25664.701383,336,4,0,0
821,350,25668.257254,821,2,1,0
695,482,25672.882417,795,4,1,0
653,692,25679.521996,753,2,1,0
180,342,25683.086797,330,4,0,0
83,287,25685.952251,233,4,0,0
141,413,25689.835721,291,3,0,0
241,582,25695.588062,391,2,0,0
191,308,25698.375625,341,4,0,0
814,389,25702.275812,914,4,1,0
751,453,25706.869635,851,3,1,0
827,322,25709.872043,927,3,1,0
291,499,25714.927476,441,3,0,0
190,395,25718.918246,340,3,0,0
926,325,25722.161697,926,3,1,0
704,938,25730.727758,704,1,1,0
191,744,25737.832851,341,2,0,0
834,285,25740.714936,834,1,1,0
87,393,25744.624982,237,4,0,0
128,403,25748.400887,278,2,0,0
190,543,25753.723629,340,4,0,0
99,227,25756.128129,249,3,0,0
191,354,25759.763465,341,4,0,0
133,350,25763.158701,283,2,0,0
672,595,25768.838181,772,4,1,0
240,408,25773.129812,390,3,0,0
308,311,25775.946225,458,3,0,0
673,592,25781.635507,723,2,1,0
781,302,25784.537009,831,4,1,0
141,535,25789.80662,291,4,0,0
783,544,25794.742434,833,1,1,0
749,461,25799.31026,799,1,1,0
791,502,25804.097628,791,1,1,0
829,313,25806.950969,879,2,1,0
136,313,25810.234441,286,3,0,0
190,338,25813.451419,340,4,0,0
670,356,25817.18381,770,4,1,0
191,387,25821.159785,341,4,0,0
863,642,25827.548487,913,4,1,0
151,259,25830.124139,301,4,0,0
235,346,25833.710851,385,4,0,0
90,723,25840.617032,240,2,0,0
287,387,25844.306009,437,3,0,0
717,371,25848.01373,817,4,1,0
752,449,25852.003626,752,1,1,0
191,377,25855.714743,341,4,0,0
765,383,25859.290174,815,1,1,0
800,458,25864.132969,900,4,1,0
684,537,25869.348261,784,3,1,0
731,553,25874.437887,781,2,1,0
82,192,25876.453267,232,4,0,0
811,403,25880.059972,811,1,1,0
79,302,25882.931802,229,3,0,0
141,626,25888.998661,291,3,0,0
62,145,25890.436109,212,4,0,0
774,337,25893.793828,774,1,1,0
758,416,25897.686755,758,1,1,0
747,723,25904.886113,847,3,1,0
191,1018,25914.124323,341,1,0,0
764,386,25917.816408,764,1,1,0
823,342,25920.840209,873,4,1,0
142,470,25925.693323,292,4,0,0
732,549,25930.769384,782,1,1,0
140,474,25935.424426,290,2,0,0
821,353,25939.148521,871,4,1,0
181,364,25942.64738,331,2,0,0
633,791,25950.190651,683,1,1,0
700,456,25954.223537,750,1,1,0
722,346,25957.719168,772,1,1,0
175,283,25960.430927,325,3,0,0
240,447,25964.949426,390,4,0,0
771,350,25968.048948,821,3,1,0
126,367,25971.862497,276,2,0,0
93,326,25975.271048,243,3,0,0
-21,385,25979.270405,129,3,0,0
240,661,25985.536729,390,3,0,0
141,670,25991.752886,291,2,0,0
784,287,25994.72755,784,1,1,0
186,232,25996.829175,336,2,0,0
174,300,26000.159984,324,4,0,0
239,451,26004.288043,389,3,0,0
724,588,26010.024703,774,3,1,0
652,448,26014.163427,752,2,1,0
748,467,26018.870104,798,3,1,0
179,188,26020.670855,329,4,0,0
283,317,26023.997811,433,4,0,0
276,387,26027.889679,426,3,0,0
141,623,26034.092355,291,3,0,0
141,1451,26047.500866,291,2,0,0
141,416,26051.490616,291,2,0,0
154,294,26054.700654,304,4,0,0
223,430,26058.877998,373,3,0,0
169,268,26061.670625,319,4,0,0
123,301,26064.555702,273,3,0,0
133,323,26068.078521,283,3,0,0
46,180,26069.755811,196,4,0,0
91,746,26077.003027,241,3,0,0
811,402,26081.01611,811,3,1,0
191,606,26086.956797,341,2,0,0
238,680,26093.476573,388,4,0,0
696,478,26098.248459,746,2,1,0
140,313,26101.680587,290,4,0,0
102,230,26103.744442,252,4,0,0
104,368,26107.479744,254,3,0,0
189,512,26112.307715,339,2,0,0
91,435,26116.799054,241,4,0,0
709,663,26123.194305,759,2,1,0
137,536,26128.221764,287,2,0,0
141,1124,26138.585507,291,2,0,0
141,456,26142.925292,291,4,0,0
173,381,26146.889702,323,4,0,0
125,321,26150.36766,275,4,0,0
732,545,26155.233528,782,1,1,0
136,370,26158.930578,286,2,0,0
141,752,26166.247201,291,3,0,0
241,486,26170.903445,391,3,0,0
180,296,26173.798829,330,4,0,0
121,389,26177.703266,271,2,0,0
140,1149,26188.497308,290,2,0,0
141,2727,26213.152771,291,1,0,0
190,629,26219.082172,340,2,0,0
713,394,26222.835035,763,1,1,0
804,437,26227.290361,804,3,1,0
91,451,26231.476666,241,2,0,0
180,304,26234.752084,330,4,0,0
86,1090,26244.822195,236,2,0,0
719,363,26248.506922,769,1,1,0
119,463,26253.323418,269,3,0,0
767,622,26259.032974,817,2,1,0
191,721,26265.968249,341,2,0,0
573,842,26273.854653,673,1,1,0
141,945,26282.867194,291,3,0,0
175,260,26285.488042,325,4,0,0
117,300,26288.381402,267,4,0,0
187,699,26295.114408,337,2,0,0
137,577,26300.558268,287,2,0,0
190,393,26304.429502,340,3,0,0
137,511,26309.375074,287,2,0,0
170,308,26312.712292,320,4,0,0
910,405,26316.621734,1010,4,1,0
135,310,26319.533594,285,3,0,0
122,175,26321.595084,272,4,0,0
314,322,26324.714842,464,4,0,0
801,452,26329.288751,801,2,1,0
161,250,26331.724864,311,4,0,0
789,513,26336.617013,839,1,1,0
753,441,26340.884462,853,3,1,0
88,555,26346.631778,238,4,0,0
139,196,26348.42209,289,4,0,0
191,565,26354.066117,341,4,0,0
141,817,26361.973333,291,3,0,0
288,537,26367.346354,438,3,0,0
696,475,26372.059349,796,2,1,0
167,258,26374.645263,317,3,0,0
762,399,26378.517316,862,2,1,0
781,550,26383.815562,781,2,1,0
141,632,26389.737054,291,2,0,0
856,427,26394.130341,906,3,1,0
91,1107,26403.908535,241,2,0,0
759,412,26407.950028,859,4,1,0
688,518,26412.907518,738,2,1,0
821,351,26416.332534,821,1,1,0
141,564,26422.057547,291,2,0,0
137,596,26427.663646,287,4,0,0
920,356,26431.027621,920,2,1,0
189,462,26435.432519,339,3,0,0
135,409,26439.337327,285,4,0,0
191,1492,26453.189921,341,2,0,0
222,292,26456.412709,372,4,0,0
138,385,26460.192461,288,3,0,0
716,375,26463.782111,766,1,1,0
88,182,26465.509217,238,4,0,0
204,220,26467.774548,354,4,0,0
90,491,26472.651146,240,1,0,0
685,531,26477.799609,785,3,1,0
624,1088,26487.839592,624,1,1,0
493,1490,26501.523584,543,1,1,0
82,995,26510.863446,232,1,0,0
141,676,26517.506986,291,2,0,0
619,861,26525.53135,669,1,1,0
818,366,26529.123545,868,3,1,0
280,291,26532.079429,430,4,0,0
287,383,26535.855721,437,4,0,0
755,432,26539.76786,805,1,1,0
191,696,26546.712445,341,3,0,0
822,347,26549.860899,872,3,1,0
141,898,26558.658489,291,4,0,0
762,395,26562.688453,812,1,1,0
141,611,26568.382606,291,3,0,0
779,313,26571.496387,779,1,1,0
755,432,26575.528078,855,3,1,0
172,620,26581.708671,322,4,0,0
778,317,26584.767677,828,2,1,0
167,214,26586.927494,317,4,0,0
133,359,26590.536913,283,4,0,0
722,346,26593.855543,772,2,1,0
140,812,26601.365175,290,1,0,0
478,1319,26613.234573,578,1,1,0
833,291,26616.488167,883,4,1,0
94,274,26619.194362,244,3,0,0
608,918,26627.428412,658,1,1,0
882,299,26630.365856,882,4,1,0
116,197,26632.571002,266,3,0,0
183,564,26638.231535,333,4,0,0
141,589,26644.092442,291,3,0,0
191,816,26651.855215,341,3,0,0
286,483,26656.658433,436,4,0,0
717,873,26664.854007,767,2,1,0
737,521,26669.883233,787,1,1,0
788,517,26674.756368,788,1,1,0
775,330,26677.71826,875,3,1,0
688,515,26682.661196,788,2,1,0
285,385,26686.594666,435,3,0,0
141,983,26696.025665,291,3,0,0
186,358,26699.550184,336,4,0,0
91,379,26703.153137,241,3,0,0
782,298,26705.84315,782,1,1,0
141,326,26709.335955,291,4,0,0
141,1175,26720.275551,291,1,0,0
91,770,26727.440074,241,2,0,0
739,510,26732.216682,739,1,1,0
141,544,26737.443558,291,3,0,0
832,295,26740.109671,832,1,1,0
734,536,26745.458149,834,2,1,0
156,282,26748.271154,306,4,0,0
84,275,26751.003431,234,4,0,0
766,375,26754.843438,816,3,1,0
241,510,26760.008603,391,4,0,0
478,1565,26774.176608,578,1,1,0
693,494,26778.940324,743,1,1,0
191,561,26784.357673,341,4,0,0
259,234,26786.683213,409,3,0,0
706,678,26793.212328,706,4,1,0
817,374,26796.79186,817,1,1,0
746,475,26801.290227,796,1,1,0
768,367,26804.904538,768,3,1,0
172,276,26807.778205,322,4,0,0
133,342,26811.20466,283,3,0,0
777,322,26814.160076,827,3,1,0
141,528,26819.070208,291,2,0,0
191,531,26824.675723,341,4,0,0
751,452,26828.87465,751,1,1,0
694,487,26833.768188,794,3,1,0
133,209,26836.069548,283,4,0,0
881,304,26838.862513,931,2,1,0
110,203,26841.052904,260,3,0,0
682,548,26846.184527,782,2,1,0
773,343,26849.657951,823,3,1,0
755,430,26853.825595,805,4,1,0
750,459,26857.95781,800,2,1,0
729,313,26861.261691,829,4,1,0
91,344,26864.558877,241,1,0,0
866,375,26868.365675,916,4,1,0
128,279,26871.087608,278,2,0,0
824,335,26874.186604,824,1,1,0
897,473,26878.954983,947,3,1,0
650,457,26883.547505,750,2,1,0
240,381,26887.235351,390,4,0,0
886,277,26889.914103,886,2,1,0
762,397,26893.739069,862,4,1,0
639,510,26898.556374,739,3,1,0
709,662,26904.690108,709,2,1,0
628,817,26912.258951,678,2,1,0
827,323,26915.506123,927,3,1,0
737,773,26922.596665,837,1,1,0
720,355,26926.111725,820,2,1,0
183,425,26930.321063,333,3,0,0
829,310,26933.246875,829,1,1,0
821,352,26936.608355,821,1,1,0
166,248,26939.132946,316,4,0,0
692,749,26946.176241,742,1,1,0
229,212,26948.433199,379,4,0,0
141,1999,26966.130783,291,1,0,0
718,365,26969.582847,768,1,1,0
229,262,26972.249124,379,4,0,0
765,632,26978.484684,865,4,1,0
191,684,26985.016693,341,4,0,0
291,2999,27013.423239,291,2,0,0
821,352,27017.081923,921,4,1,0
783,544,27022.330138,833,2,1,0
238,411,27026.309828,388,4,0,0
189,668,27032.866473,339,4,0,0
72,259,27035.380735,222,3,0,0
331,308,27038.446498,481,4,0,0
238,462,27042.815442,388,4,0,0
241,537,27048.224473,391,3,0,0
716,377,27051.558065,766,2,1,0
141,677,27058.292279,291,3,0,0
671,353,27061.761295,771,3,1,0
288,301,27064.570887,438,4,0,0
780,305,27067.382042,780,1,1,0
140,666,27073.827104,290,4,0,0
140,777,27081.164505,290,1,0,0
149,386,27085.200672,299,2,0,0
706,428,27089.221854,756,1,1,0
136,288,27091.913584,286,2,0,0
168,331,27095.501787,318,4,0,0
713,642,27101.671253,813,1,1,0
544,987,27110.592085,644,1,1,0
795,481,27115.470012,845,3,1,0
765,382,27119.228599,815,1,1,0
138,405,27123.230616,288,4,0,0
137,318,27126.33118,287,1,0,0
775,330,27129.2937,825,2,1,0
133,282,27132.55369,283,4,0,0
679,310,27135.370959,779,1,1,0
119,291,27138.213728,269,4,0,0
207,296,27141.555914,357,3,0,0
235,342,27144.762091,385,4,0,0
188,408,27148.609779,338,3,0,0
129,352,27152.25144,279,3,0,0
833,293,27155.33478,833,1,1,0
711,902,27163.960517,811,1,1,0
799,464,27168.120869,849,2,1,0
662,646,27174.101361,712,1,1,0
232,342,27177.491294,382,4,0,0
191,325,27180.6801,341,4,0,0
470,1357,27193.314997,570,1,1,0
717,623,27199.133339,717,1,1,0
50,234,27201.597885,200,4,0,0
138,321,27204.573671,288,3,0,0
779,314,27207.777275,829,1,1,0
777,324,27210.755423,877,3,1,0
728,319,27214.050596,828,3,1,0
94,213,27216.073082,244,4,0,0
730,306,27219.127732,780,2,1,0
234,352,27222.656816,384,4,0,0
188,502,27227.407021,338,4,0,0
236,317,27230.81569,386,4,0,0
241,330,27234.221881,391,3,0,0
713,393,27238.070761,813,2,1,0
155,343,27241.248912,305,3,0,0
788,515,27246.180629,788,1,1,0
681,800,27254.083974,731,1,1,0
141,501,27258.74187,291,3,0,0
240,386,27262.581071,390,4,0,0
877,320,27265.906042,927,2,1,0
783,292,27268.667463,833,2,1,0
778,316,27271.953324,828,1,1,0
210,234,27274.312618,360,3,0,0
190,338,27277.469805,340,4,0,0
771,353,27281.152797,821,2,1,0
141,1009,27290.360163,291,1,0,0
162,253,27292.84785,312,4,0,0
140,938,27301.192446,290,1,0,0
704,435,27305.588825,754,1,1,0
709,414,27309.600335,809,2,1,0
134,318,27312.73213,284,4,0,0
765,380,27316.436601,765,1,1,0
141,1595,27331.021387,291,1,0,0
787,522,27335.896049,837,2,1,0
91,793,27343.294747,241,3,0,0
918,367,27347.066128,918,4,1,0
91,641,27353.010723,241,1,0,0
780,307,27355.868843,780,1,1,0
751,450,27360.345958,801,3,1,0
187,843,27368.103619,337,2,0,0
229,272,27370.868597,379,4,0,0
175,283,27373.91408,325,3,0,0
287,335,27377.069908,437,4,0,0
879,312,27380.371467,879,3,1,0
185,330,27383.475761,335,4,0,0
190,374,27387.163025,340,4,0,0
141,682,27393.95847,291,2,0,0
241,2999,27421.045459,341,1,0,0
722,349,27424.436116,772,1,1,0
689,511,27429.348962,739,2,1,0
233,626,27435.369233,383,2,0,0
936,276,27438.108513,936,2,1,0
135,485,27443.027706,285,4,0,0
412,1897,27460.223371,512,1,1,0
154,213,27462.513723,304,4,0,0
881,303,27465.330385,931,3,1,0
239,353,27468.940047,389,4,0,0
141,1109,27479.432813,291,2,0,0
86,351,27482.938615,236,2,0,0
453,1442,27496.056583,553,1,1,0
478,1316,27507.873209,578,1,1,0
586,775,27515.13026,686,1,1,0
636,528,27520.06548,736,1,1,0
91,706,27526.785997,241,1,0,0
228,366,27530.449976,378,4,0,0
91,1014,27539.877845,241,1,0,0
89,534,27544.972616,239,2,0,0
91,461,27549.34507,241,2,0,0
141,626,27555.194438,291,2,0,0
91,458,27559.848437,241,2,0,0
90,389,27563.871726,240,4,0,0
237,445,27568.234819,387,2,0,0
238,531,27573.434669,388,3,0,0
137,407,27577.639409,287,1,0,0
180,439,27581.724646,330,3,0,0
87,402,27585.639442,237,3,0,0
126,283,27588.404226,276,4,0,0
634,1037,27598.170753,634,1,1,0
138,345,27601.389438,288,3,0,0
44,248,27603.864525,194,2,0,0
191,681,27610.277936,341,2,0,0
172,336,27613.683594,322,4,0,0
186,301,27616.663321,336,4,0,0
90,327,27620.001552,240,2,0,0
783,294,27622.736901,883,2,1,0
178,401,27626.843804,328,4,0,0
767,374,27630.38218,817,1,1,0
733,293,27633.425324,783,1,1,0
793,492,27638.220854,843,2,1,0
291,1028,27647.925079,441,3,0,0
265,245,27649.95214,415,4,0,0
139,392,27654.116204,289,2,0,0
711,901,27662.165777,761,1,1,0
190,529,27667.188469,340,3,0,0
240,466,27671.679455,390,4,0,0
191,537,27676.926712,341,1,0,0
141,536,27682.206392,291,4,0,0
235,448,27686.549224,385,4,0,0
90,1245,27698.265642,240,2,0,0
55,241,27700.716818,205,3,0,0
741,502,27705.613925,841,2,1,0
115,262,27708.266828,265,4,0,0
133,362,27711.671104,283,1,0,0
240,723,27718.46443,390,3,0,0
228,327,27721.961847,378,3,0,0
140,326,27724.976416,290,2,0,0
104,148,27726.834339,254,4,0,0
218,441,27731.023877,368,3,0,0
87,320,27733.817758,237,1,0,0
89,583,27739.447196,239,1,0,0
215,515,27744.600215,365,4,0,0
123,329,27748.008125,273,2,0,0
176,302,27750.84175,326,4,0,0
660,656,27757.004253,760,2,1,0
823,340,27760.478226,823,1,1,0
234,320,27763.432921,384,3,0,0
89,773,27770.657659,239,2,0,0
189,726,27777.957474,339,4,0,0
384,376,27781.726834,534,3,0,0
243,210,27783.938265,393,4,0,0
191,1166,27794.499144,341,1,0,0
240,333,27797.651655,390,3,0,0
372,1846,27814.648904,472,1,1,0
66,165,27816.240148,216,4,0,0
218,400,27820.118631,368,4,0,0
179,460,27824.745741,329,3,0,0
141,421,27828.725726,291,2,0,0
185,353,27832.307019,335,3,0,0
232,2795,27858.412424,332,1,1,0
551,1201,27869.255309,651,1,1,0
608,917,27877.593724,658,1,1,0
241,1023,27887.232486,391,2,0,0
141,551,27892.481289,291,4,0,0
279,344,27896.107327,429,4,0,0
86,476,27900.780674,236,3,0,0
688,767,27907.904875,688,1,1,0
709,414,27911.810088,809,2,1,0
165,378,27915.555784,315,3,0,0
711,401,27919.33113,811,1,1,0
191,475,27924.143119,341,3,0,0
710,405,27927.911407,760,2,1,0
720,359,27931.29652,820,1,1,0
67,409,27935.334582,217,2,0,0
765,381,27938.906713,815,2,1,0
119,298,27941.742144,269,4,0,0
