TrainStep,MeanScore,StdScore,MaxScore,MinScore,MeanReturn,StdReturn,MaxReturn,MinReturn,MeanLength,StdLength,MaxLength,MinLength,EvalGhostsMean,Wins,EvaluationTime,TrainGhostsMean
 1000000, 442.8, 209.2,     916,     134, 442.8, 209.2, 916.0, 134.0, 360.4, 173.6,    1236,      62,   2.5,      18,0:03:21,   2.5
 2000000, 415.9, 180.6,     972,     186, 415.9, 180.6, 972.0, 186.0, 429.5, 274.4,    1699,     129,   2.5,      12,0:04:00,   2.5
 3000000, 499.4, 224.1,    1019,      35, 499.4, 224.1,1019.0,  35.0, 350.1, 131.5,     861,      46,   2.5,      21,0:03:15,   2.5
 4000000, 521.0, 235.4,     985,     240, 521.0, 235.4, 985.0, 240.0, 342.1, 147.8,    1306,     136,   2.5,      25,0:03:09,   2.5
 5000000, 488.8, 228.3,     975,     159, 488.8, 228.3, 975.0, 159.0, 347.1, 144.0,    1045,     130,   2.5,      22,0:03:13,   2.5
 6000000, 568.8, 233.8,    1016,     151, 568.8, 233.8,1016.0, 151.0, 362.4, 234.9,    2043,      62,   2.5,      26,0:03:22,   2.5
 7000000, 467.1, 184.8,     967,     168, 467.1, 184.8, 967.0, 168.0, 394.6, 228.9,    1750,     126,   2.5,      12,0:03:38,   2.5
 8000000, 496.2, 222.4,    1002,     156, 496.2, 222.4,1002.0, 156.0, 345.9, 145.7,     867,     136,   2.5,      18,0:03:13,   2.5
 9000000, 484.9, 192.9,     972,     235, 484.9, 192.9, 972.0, 235.0, 337.2, 132.1,     923,     124,   2.5,      14,0:03:09,   2.5
