#{"t_start": 1589166625.5407844, "env_id": null}
r,l,t,score
0,72,10815.375697,0
0,80,10816.436685,0
0,91,10818.159341,0
0,59,10818.893873,0
0,63,10820.248712,0
0,116,10822.352386,0
0,210,10825.65492,0
0,78,10827.34576,0
0,54,10827.948323,0
0,84,10829.71316,0
0,86,10831.420053,0
0,127,10833.610272,0
0,88,10834.65439,0
0,41,10835.888532,0
0,54,10836.570681,0
0,75,10838.148878,0
0,64,10838.927064,0
0,64,10840.447937,0
0,78,10841.368421,0
0,67,10842.981062,0
0,94,10844.887881,0
0,66,10845.653336,0
0,63,10847.179863,0
0,38,10847.650994,0
0,74,10848.469445,0
0,35,10849.701523,0
0,61,10850.32007,0
31,356,10856.742314,31
27,283,10861.536615,27
12,69,10863.128063,12
33,1092,10882.057214,33
37,961,10899.480167,37
206,1297,10922.011916,206
199,1017,10939.577798,199
171,1137,10959.453406,171
171,1246,10980.26441,171
131,214,10984.229548,131
88,337,10990.443845,88
106,523,10999.594998,106
194,432,11006.771146,194
258,858,11021.443465,258
202,560,11030.804676,202
179,497,11039.203405,179
275,965,11055.82184,275
223,1179,11075.829927,223
227,1249,11097.016184,227
198,509,11105.962287,198
196,1055,11123.9196,196
270,808,11137.562973,270
213,705,11149.887864,213
227,873,11164.681299,227
215,418,11171.611486,215
170,781,11184.893571,170
144,249,11189.284617,144
218,951,11205.213169,218
112,359,11211.614432,112
225,1811,11242.254608,225
121,204,11246.30355,121
232,803,11259.8985,232
167,949,11276.953731,167
126,302,11281.906518,126
79,303,11286.912856,79
279,906,11302.169463,279
234,378,11308.738311,234
212,501,11317.465019,212
228,984,11334.207721,228
221,605,11344.491143,221
237,1673,11372.206783,237
56,422,11379.333857,56
1,47,11379.912828,1
41,521,11389.058178,41
0,84,11390.792422,0
0,100,11392.711405,0
0,91,11394.532714,0
0,92,11395.66116,0
0,43,11396.87273,0
0,70,11397.739399,0
0,87,11399.53132,0
0,85,11401.242185,0
0,290,11406.16749,0
0,56,11406.877014,0
0,117,11408.982066,0
0,60,11410.377884,0
0,71,11411.268162,0
0,57,11412.708157,0
0,75,11413.676372,0
0,57,11415.159309,0
0,89,11416.19191,0
0,80,11417.924319,0
0,133,11420.199861,0
0,111,11422.277699,0
0,96,11424.170363,0
0,96,11425.23316,0
0,89,11427.112417,0
23,207,11431.017842,23
57,816,11445.13668,57
132,902,11460.78075,132
237,398,11467.540898,237
129,820,11482.344041,129
189,947,11498.278858,189
195,418,11505.37723,195
227,1744,11535.526701,227
26,402,11542.443294,26
14,371,11549.139262,14
14,621,11560.242388,14
1,98,11562.056949,1
0,69,11562.937449,0
104,1261,11585.061401,104
216,761,11598.351781,216
208,1070,11616.580888,208
218,589,11626.996887,218
219,873,11642.229522,219
229,1932,11675.098575,229
170,944,11690.827515,170
191,608,11701.234667,191
77,519,11710.280875,77
198,603,11720.966866,198
208,682,11732.248586,208
187,369,11738.641602,187
166,671,11749.917992,166
159,688,11761.48386,159
71,261,11766.701034,71
197,658,11777.907149,197
129,506,11786.869261,129
225,1155,11806.656915,225
231,1828,11837.676665,231
122,625,11848.81283,122
167,779,11861.965907,167
197,765,11875.085898,197
220,975,11891.456412,220
164,1559,11918.721014,164
103,552,11928.030452,103
86,885,11943.560004,86
175,476,11951.924749,175
112,849,11966.168915,112
138,603,11976.779216,138
166,1065,11994.921284,166
259,1201,12016.199284,259
93,1737,12046.093425,93
137,1003,12063.362346,137
123,1583,12090.016475,123
100,520,12099.815668,100
120,862,12114.072776,120
89,1781,12145.024436,89
73,628,12156.079755,73
108,2981,12207.488661,108
94,1381,12231.842132,94
85,1207,12253.477732,85
68,1925,12286.99669,68
76,1960,12320.823006,76
105,709,12332.949247,105
116,1717,12362.664683,116
85,316,12367.889936,85
107,853,12382.863692,107
111,2999,12434.704113,111
88,567,12444.623251,88
113,2999,12495.157267,113
157,656,12506.248434,157
110,557,12516.488399,110
104,449,12523.846958,104
112,822,12538.251599,112
113,631,12549.104965,113
115,1211,12569.734509,115
91,324,12575.640947,91
111,919,12591.218523,111
133,647,12602.275222,133
165,1241,12623.709599,165
117,572,12633.119476,117
163,1147,12652.934933,163
178,461,12661.125909,178
197,1326,12683.744406,197
152,601,12694.396072,152
142,523,12703.268859,142
141,1610,12730.418392,141
217,1655,12758.635504,217
145,942,12775.50044,145
68,1021,12793.27765,68
139,681,12804.979607,139
216,1590,12832.084322,216
95,1401,12856.847197,95
115,621,12867.612305,115
254,927,12883.676652,254
104,345,12889.943339,104
145,388,12896.727218,145
175,818,12910.420008,175
209,458,12918.324445,209
132,247,12922.658362,132
227,1065,12940.21439,227
163,434,12947.926381,163
0,38,12948.391522,0
0,56,12949.105726,0
109,809,12963.16606,109
203,1185,12982.417207,203
147,737,12995.130696,147
152,426,13002.087858,152
215,1355,13023.425143,215
215,490,13030.469706,215
196,616,13040.595218,196
196,509,13048.600919,196
79,313,13053.871135,79
257,504,13061.659881,257
212,1178,13079.813255,212
263,1148,13389.024437,263
251,1348,13411.811848,251
171,2999,13463.173421,171
185,930,13479.114048,185
200,1175,13499.217531,200
144,1443,13524.594969,144
128,1510,13550.209163,128
121,430,13558.094109,121
229,704,13569.617377,229
219,1130,13589.446703,219
123,403,13596.40999,123
37,531,13605.751867,37
110,738,13618.574737,110
191,1478,13644.235731,191
110,255,13648.681032,110
154,536,13657.808245,154
132,323,13662.905726,132
182,725,13675.564065,182
222,620,13686.197932,222
213,1373,13709.867877,213
106,1337,13732.706051,106
123,698,13744.415103,123
141,1171,13764.975266,141
208,732,13776.948239,208
132,653,13788.243437,132
171,657,13800.275607,171
162,1317,13822.970291,162
219,1009,13840.065873,219
202,441,13847.240172,202
241,473,13855.679341,241
162,318,13860.912666,162
205,1816,13892.212573,205
136,867,13906.449519,136
181,615,13917.008338,181
217,754,13929.752755,217
228,1517,13955.22235,228
230,774,13968.217832,230
252,368,13974.520688,252
192,516,13983.417732,192
219,1162,14003.041613,219
44,209,14006.94086,44
4,19,14007.175532,4
35,1262,14029.321869,35
43,387,14036.115949,43
104,413,14043.22567,104
40,318,14048.472844,40
170,401,14055.294328,170
203,904,14070.758835,203
201,653,14082.680358,201
208,1335,14105.131906,208
95,330,14111.228191,95
132,728,14123.240517,132
138,252,14127.735756,138
129,478,14136.508017,129
239,1409,14161.020003,239
264,952,14177.200177,264
109,365,14183.811402,109
134,268,14188.46603,134
224,928,14205.102565,224
224,948,14221.040228,224
177,391,14227.788096,177
219,1049,14245.857818,219
270,743,14258.768437,270
142,720,14271.46511,142
164,648,14282.40966,164
270,871,14297.279629,270
124,660,14308.484082,124
111,212,14311.716498,111
200,362,14317.929885,200
197,622,14328.648298,197
234,1833,14359.234539,234
167,1366,14382.742501,167
0,61,14384.254727,0
15,157,14386.828162,15
15,65,14387.601839,15
9,429,14395.676554,9
108,1519,14421.227637,108
150,837,14435.386934,150
134,572,14444.350668,134
178,343,14450.078521,178
130,1005,14466.666132,130
224,812,14479.667254,224
225,1274,14500.843409,225
222,566,14510.777832,222
231,1456,14534.39748,231
63,1072,14551.957714,63
167,512,14560.39016,167
338,807,14573.878955,338
216,596,14583.061006,216
224,722,14595.84658,224
328,704,14608.119796,328
227,738,14620.033178,227
226,848,14634.744479,226
219,626,14645.59991,219
155,306,14650.500598,155
211,599,14660.951429,211
243,438,14668.048243,243
203,913,14683.547133,203
259,868,14698.633973,259
194,849,14713.7033,194
216,1846,14745.478918,216
129,592,14756.073763,129
210,1076,14774.361212,210
213,1560,14802.09316,213
187,739,14814.64859,187
204,1615,14843.198381,204
203,570,14852.657791,203
215,600,14863.03414,215
172,364,14869.437825,172
209,906,14884.702138,209
167,242,14888.985053,167
211,951,14904.927984,211
206,331,14910.846958,206
222,1297,14932.722742,222
222,1133,14952.256427,222
224,1621,14980.255667,224
76,1173,15000.668521,76
212,1123,15019.247318,212
166,551,15029.27167,166
210,653,15040.299274,210
265,1592,15066.633784,265
155,692,15078.720354,155
222,2798,15126.583018,222
222,879,15140.588951,222
194,999,15157.83521,194
219,479,15166.214631,219
163,1298,15188.189451,163
166,493,15196.775477,166
213,1310,15218.827904,213
219,1679,15247.859168,219
274,779,15261.038728,274
202,324,15267.016946,202
216,1069,15284.541748,216
218,1208,15305.284684,218
173,1086,15323.605692,173
165,1392,15347.618391,165
239,362,15353.941948,239
199,423,15360.872685,199
204,743,15373.564655,204
227,705,15385.902342,227
182,1046,15403.512463,182
41,143,15405.95817,41
5,292,15410.920332,5
91,496,15419.675517,91
5,499,15428.512647,5
5,287,15433.372124,5
5,371,15440.00177,5
4,112,15442.022009,4
16,814,15455.878141,16
21,243,15460.165298,21
13,288,15464.974883,13
77,314,15470.764328,77
280,1258,15492.024534,280
1,38,15492.490167,1
13,93,15494.282763,13
9,38,15494.799084,9
13,227,15499.006668,13
7,254,15503.54329,7
7,195,15506.562331,7
0,107,15508.556945,0
0,70,15510.190166,0
0,58,15510.85274,0
0,38,15511.378201,0
0,83,15513.005462,0
0,108,15514.983059,0
0,85,15516.772253,0
0,133,15519.079645,0
0,69,15519.852897,0
0,97,15521.761512,0
0,113,15523.899133,0
0,95,15525.825889,0
0,72,15526.725512,0
0,72,15528.288486,0
0,74,15529.329725,0
0,51,15530.542275,0
0,52,15531.241148,0
0,67,15532.716999,0
0,80,15533.803479,0
0,79,15535.472462,0
0,75,15536.423204,0
0,51,15537.699893,0
0,90,15539.491466,0
0,77,15540.473318,0
0,67,15541.85043,0
0,69,15542.739562,0
0,50,15543.99411,0
0,64,15544.867955,0
0,86,15546.524391,0
0,107,15548.556843,0
0,96,15549.755612,0
0,82,15551.522832,0
0,113,15553.577881,0
0,43,15554.049545,0
0,73,15555.647048,0
0,68,15556.418519,0
0,107,15558.3812,0
0,87,15560.157432,0
0,73,15560.96123,0
0,99,15562.864415,0
0,102,15564.83975,0
0,114,15566.915335,0
0,89,15568.635354,0
0,94,15569.753537,0
0,64,15571.238546,0
0,54,15571.865399,0
0,82,15573.521103,0
0,105,15575.472746,0
0,53,15576.099445,0
0,80,15577.842148,0
0,50,15578.392061,0
0,60,15579.884113,0
0,59,15580.575405,0
0,68,15582.154071,0
7,166,15584.779906,7
0,56,15585.376835,0
121,803,15600.023718,121
134,513,15608.729069,134
25,227,15612.11912,25
184,656,15623.070992,184
202,520,15632.605099,202
262,1058,15650.128712,262
242,361,15656.426734,242
90,210,15659.638553,90
104,155,15662.130348,104
0,39,15663.264429,0
212,742,15676.048905,212
0,111,15677.364347,0
211,908,15693.716506,211
13,318,15698.979767,13
0,69,15700.560061,0
242,421,15707.741275,242
0,63,15708.465101,0
5,51,15709.915871,5
91,657,15721.406816,91
205,901,15737.107398,205
0,56,15737.829919,0
25,496,15746.507159,25
281,892,15761.53813,281
168,521,15770.44697,168
100,521,15779.329458,100
26,55,15780.696072,26
233,626,15791.088489,233
188,449,15798.516015,188
69,243,15802.731134,69
109,301,15807.688617,109
157,648,15818.666912,157
68,581,15829.177573,68
226,948,15845.181956,226
281,1217,15866.507436,281
289,1318,15888.664841,289
250,563,15899.044256,250
205,426,15906.071917,205
235,1181,15925.816503,235
227,465,15933.954445,227
111,324,15939.259596,111
25,501,15948.117808,25
28,289,15953.642066,28
31,329,15958.945963,31
37,474,15967.366776,37
89,1038,15985.32064,89
41,405,15992.22803,41
49,843,16007.426613,49
68,755,16020.654319,68
68,527,16029.573229,68
181,772,16042.644774,181
173,659,16053.788662,173
240,1466,16078.349016,240
212,730,16091.25528,212
165,299,16096.246473,165
221,976,16112.985171,221
223,1220,16133.087789,223
248,376,16139.658102,248
319,888,16154.851749,319
180,1064,16173.618065,180
152,215,16176.855566,152
166,574,16187.055189,166
202,361,16193.477704,202
295,336,16198.893033,295
191,388,16205.584474,191
304,471,16214.013878,304
226,828,16227.741197,226
201,518,16237.406477,201
222,922,16253.046198,222
34,302,16258.201092,34
33,755,16271.498288,33
26,859,16286.824355,26
33,291,16291.743904,33
172,400,16298.564879,172
206,946,16314.524936,206
33,376,16321.059125,33
209,636,16331.983571,209
249,609,16342.538773,249
228,791,16355.724494,228
178,566,16365.587074,178
215,757,16378.779115,215
216,880,16393.928051,216
226,906,16409.194804,226
236,626,16419.072552,236
205,1208,16439.938945,205
247,356,16446.254931,247
227,1242,16466.641991,227
213,594,16477.049862,213
202,685,16488.328552,202
226,910,16504.373717,226
226,1395,16527.841881,226
233,480,16536.340684,233
231,492,16544.935754,231
89,727,16557.659619,89
181,364,16563.947938,181
157,562,16573.470534,157
189,382,16580.145175,189
171,766,16593.059417,171
267,1207,16613.141297,267
74,340,16619.363277,74
171,717,16631.900502,171
74,469,16639.550988,74
174,652,16650.619074,174
223,944,16667.022233,223
247,727,16679.114351,247
221,814,16693.491738,221
224,603,16703.362392,224
269,1202,16724.52732,269
222,696,16736.130964,222
212,656,16747.211802,212
193,218,16751.18008,193
210,372,16757.681867,210
258,477,16765.941611,258
222,380,16772.522597,222
205,606,16782.167402,205
228,641,16792.983197,228
205,381,16799.633451,205
213,551,16809.841267,213
230,606,16819.652838,230
322,394,16827.081696,322
223,596,16836.547679,223
218,372,16842.950572,218
211,886,16858.146592,211
203,849,16872.900476,203
262,503,16881.487088,262
224,474,16889.092395,224
211,527,16898.126539,211
208,335,16904.055207,208
220,785,16917.057384,220
194,533,16926.11201,194
221,1786,16956.355876,221
316,686,16968.243831,316
21,322,16973.695546,21
176,510,16982.596873,176
252,1121,17002.068496,252
195,668,17013.365237,195
172,421,17020.325495,172
138,646,17031.471181,138
218,570,17041.58073,218
198,429,17048.665363,198
222,1019,17066.041638,222
229,730,17078.559485,229
228,491,17087.041753,228
229,412,17093.862086,229
210,289,17098.684207,210
203,271,17103.400498,203
235,791,17117.730249,235
95,2054,17153.131121,95
209,978,17169.129289,209
201,423,17176.80169,201
266,462,17184.162886,266
212,677,17195.358351,212
199,346,17201.327382,199
231,516,17209.781167,231
91,578,17220.307337,91
227,1606,17246.466744,227
272,1185,17266.613147,272
190,1278,17288.126875,190
260,301,17293.788755,260
30,290,17298.606489,30
209,1568,17325.044202,209
217,1519,17351.877208,217
252,642,17362.744504,252
208,471,17370.960229,208
210,648,17381.863743,210
200,622,17392.644135,200
220,1466,17416.745754,220
215,457,17424.755597,215
137,267,17429.222625,137
223,1391,17452.035549,223
235,648,17462.50511,235
231,555,17471.22708,231
280,901,17485.173567,280
227,810,17498.269318,227
238,1502,17521.177606,238
228,518,17529.119527,228
332,772,17540.895929,332
220,848,17554.133275,220
224,465,17561.754899,224
255,467,17568.940551,255
238,1087,17586.175434,238
220,484,17594.031181,220
231,1019,17609.961098,231
299,429,17616.873931,299
117,454,17624.177047,117
237,1149,17889.503551,237
285,1117,17908.694015,285
219,455,17916.872326,219
228,727,17928.537684,228
239,871,17943.628926,239
241,1767,17974.090772,241
219,548,17983.298582,219
263,313,17989.068643,263
265,387,17995.5772,265
278,523,18004.388801,278
272,684,18015.98386,272
46,839,18030.744305,46
47,1292,18053.017512,47
47,941,18069.37233,47
37,201,18073.191923,37
47,782,18086.452912,47
165,527,18095.623669,165
211,845,18110.411912,211
265,694,18122.075122,265
257,361,18128.365018,257
208,540,18137.479141,208
209,548,18146.680279,209
265,830,18161.282357,265
219,536,18170.359536,219
199,391,18177.101879,199
214,343,18183.422963,214
256,682,18194.619849,256
270,740,18207.163624,270
226,385,18213.762896,226
270,1123,18232.697278,270
272,601,18242.266849,272
237,961,18258.886356,237
269,425,18265.894155,269
278,400,18272.557884,278
230,453,18280.370799,230
241,1482,18304.592374,241
231,510,18313.436018,231
214,347,18319.457542,214
221,410,18326.363156,221
225,447,18334.373013,225
203,233,18338.572618,203
234,598,18348.500001,234
220,789,18361.648177,220
230,506,18370.12643,230
190,651,18381.187737,190
230,683,18393.264415,230
695,981,18409.464465,695
287,815,18423.636211,287
281,849,18437.289273,281
203,372,18443.673579,203
282,743,18456.401383,282
289,628,18467.103704,289
233,488,18475.504321,233
274,394,18482.211775,274
206,482,18490.574315,206
50,851,18505.141168,50
19,300,18510.842181,19
19,303,18516.07483,19
19,170,18518.835192,19
19,658,18531.384999,19
21,804,18545.236197,21
21,783,18558.86862,21
21,543,18568.221023,21
20,176,18571.830055,20
22,212,18575.040172,22
23,78,18576.696236,23
21,42,18577.183177,21
23,133,18579.458888,23
20,333,18585.729845,20
63,636,18596.894567,63
62,461,18604.393332,62
89,545,18614.575261,89
78,328,18619.965788,78
90,482,18628.555022,90
118,274,18633.201493,118
100,561,18642.43353,100
116,341,18648.59195,116
91,263,18653.083754,91
219,584,18663.260519,219
237,849,18677.03823,237
207,385,18683.483253,207
228,885,18698.878797,228
137,551,18708.849323,137
253,831,18722.993876,253
177,573,18733.423013,177
222,1134,18752.100729,222
227,625,18762.986256,227
217,482,18771.555435,217
241,1183,18791.420012,241
215,1014,18808.719651,215
228,785,18821.604808,228
239,682,18833.143302,239
240,699,18843.971423,240
237,558,18853.300419,237
278,682,18863.957413,278
239,1107,18881.345568,239
226,813,18894.686028,226
281,876,18908.849164,281
237,968,18924.033988,237
273,877,18938.51695,273
268,661,18949.18054,268
137,463,18957.100424,137
218,479,18965.066218,218
215,636,18975.371831,215
222,530,18983.835387,222
61,146,18986.11771,61
209,366,18992.164748,209
113,192,18994.995117,113
155,494,19003.062159,155
220,824,19016.78881,220
278,1241,19036.69395,278
223,339,19042.515803,223
224,965,19057.779507,224
163,687,19069.650738,163
144,292,19074.0913,144
209,411,19081.056727,209
206,448,19089.288806,206
218,675,19100.766562,218
278,769,19113.980675,278
121,517,19122.704182,121
269,658,19133.880486,269
230,883,19149.323694,230
100,250,19153.75325,100
227,558,19163.086708,227
228,522,19172.73079,228
330,1434,19196.99305,330
225,383,19203.619209,225
226,870,19218.632697,226
232,1156,19238.227167,232
281,656,19249.231757,281
232,1332,19271.417306,232
223,394,19278.201407,223
336,1091,19297.014551,336
287,755,19309.902086,287
227,645,19320.80933,227
234,666,19331.935529,234
198,1073,19350.157386,198
122,1416,19374.365052,122
227,1199,19395.611819,227
231,504,19404.306279,231
226,690,19415.616596,226
220,466,19423.726846,220
164,1290,19445.671607,164
215,383,19452.270169,215
331,651,19463.264777,331
281,560,19472.400795,281
236,1120,19491.413329,236
214,627,19502.229898,214
240,1106,19520.621943,240
229,492,19529.045006,229
289,594,19539.234121,289
0,49,19539.778865,0
223,540,19549.356066,223
169,335,19554.775568,169
228,770,19567.630403,228
66,397,19574.425721,66
233,1360,19597.665752,233
33,97,19599.530256,33
209,267,19604.037974,209
211,450,19611.486248,211
279,508,19620.112754,279
228,888,19635.382062,228
234,2087,19670.45508,234
141,348,19676.758746,141
209,501,19685.292446,209
41,175,19687.970737,41
237,703,19700.189471,237
139,610,19710.705177,139
236,868,19724.797687,236
125,249,19729.147595,125
146,335,19735.376714,146
225,991,19752.490949,225
190,265,19757.146248,190
222,800,19770.711253,222
189,292,19775.52183,189
231,726,19787.889332,231
224,455,19795.889749,224
219,1356,19818.931998,219
139,652,19830.135179,139
235,1288,19851.932527,235
203,391,19858.669882,203
240,783,19872.48088,240
232,668,19883.663683,232
291,1323,19906.15093,291
64,418,19913.18059,64
46,1347,19937.052732,46
15,1120,19957.100694,15
30,301,19962.14323,30
148,398,19968.930607,148
241,940,19984.862986,241
225,1118,20004.51377,225
521,1601,20032.400295,521
229,396,20039.129394,229
233,1035,20056.869778,233
235,977,20072.931597,235
75,128,20075.158514,75
228,1123,20094.627609,228
234,1569,20121.736228,234
202,682,20133.276791,202
166,2687,20179.261319,166
207,336,20184.63002,207
52,157,20188.007565,52
52,1256,20210.276657,52
28,416,20217.391926,28
89,265,20221.997555,89
20,95,20223.855345,20
29,615,20234.121249,29
216,752,20247.019133,216
286,1219,20268.093425,286
237,729,20280.040534,237
223,524,20289.867796,223
139,204,20293.023383,139
237,1235,20314.261259,237
236,1210,20334.500901,236
213,365,20340.809577,213
228,1697,20369.736695,228
226,338,20375.786883,226
381,1718,20404.912898,381
234,1419,20429.834131,234
289,1051,20447.649079,289
235,388,20454.295118,235
0,62,20454.969657,0
239,1061,20473.65202,239
290,822,20487.245373,290
722,596,20497.524086,722
286,499,20506.130785,286
234,700,20517.53979,234
285,1187,20537.248548,285
215,313,20542.95931,215
231,1722,20572.048039,231
225,1163,20591.966745,225
234,777,20605.086015,234
240,1946,20638.44277,240
235,589,20648.084389,235
241,699,20660.33008,241
639,1012,20676.856101,639
241,647,20688.39661,241
747,474,20695.957915,747
774,588,20706.130131,774
241,795,20719.58167,241
788,515,20728.072167,788
341,887,20742.997296,341
688,769,20756.323937,688
225,585,20766.851623,225
237,590,20776.413433,237
669,861,20791.433343,669
288,742,20804.268374,288
290,694,20815.747509,290
289,735,20828.550207,289
834,536,20837.570853,834
235,861,20852.25896,235
235,766,20865.303389,235
233,737,20877.819681,233
230,396,20884.421925,230
288,654,20895.526754,288
287,781,20908.705293,287
172,841,20922.806899,172
226,697,20935.058262,226
291,718,20947.00127,291
65,614,20957.865743,65
19,185,20961.425431,19
206,939,20977.543381,206
285,638,20988.376783,285
230,228,20992.452966,230
287,733,21005.16846,287
260,310,21010.23699,260
337,725,21022.693235,337
202,314,21027.759791,202
236,748,21040.309891,236
239,281,21044.945252,239
700,706,21057.235917,700
240,869,21071.378486,240
230,602,21082.040555,230
241,589,21092.471223,241
291,1193,21112.387946,291
224,421,21119.437714,224
257,371,21125.926498,257
255,394,21132.813336,255
284,1417,21157.317549,284
40,210,21161.212831,40
143,1126,21180.717566,143
72,375,21187.37566,72
205,556,21196.716703,205
20,212,21200.564387,20
19,43,21201.092551,19
121,663,21212.385033,121
290,914,21227.669117,290
238,468,21235.831945,238
170,613,21246.640996,170
238,1250,21267.876985,238
241,554,21277.098313,241
285,847,21291.603102,285
241,1145,21310.04731,241
291,668,21321.957235,291
200,856,21336.139219,200
285,888,21351.239398,285
285,638,21361.885936,285
28,58,21363.1746,28
56,373,21369.651194,56
727,573,21379.218173,727
60,299,21384.243901,60
244,521,21393.806016,244
206,522,21402.797371,206
237,775,21416.191494,237
215,1122,21435.151732,215
288,1116,21454.209861,288
734,538,21463.19675,734
239,595,21473.487255,239
339,1181,21493.128511,339
239,659,21504.215671,239
238,1616,21531.546663,238
61,923,21547.579614,61
25,137,21549.888818,25
235,1772,21580.4856,235
286,1057,21598.325314,286
235,1330,21621.315914,235
242,243,21625.443629,242
227,760,21638.378313,227
180,357,21643.89155,180
273,613,21654.504357,273
228,1011,21672.035677,228
238,551,21681.098215,238
240,1200,21701.714287,240
265,561,21711.030282,265
309,355,21717.376219,309
237,1002,21734.422766,237
273,1385,21758.956566,273
241,1090,21777.027402,241
232,581,21787.235158,232
288,1014,21804.313627,288
234,896,21819.7254,234
238,487,21827.342149,238
283,482,21835.661297,283
255,1247,21856.569859,255
289,971,21872.062036,289
240,656,21883.606507,240
237,469,21890.882786,237
159,309,21896.760999,159
231,610,21906.349456,231
283,633,21916.886344,283
230,495,21925.038119,230
278,293,21930.230893,278
238,1240,21949.193537,238
223,450,21956.737429,223
216,328,21961.546326,216
615,1134,21979.229527,615
236,1051,21995.339443,236
280,896,22009.279613,280
36,406,22016.423933,36
88,737,22027.869937,88
220,594,22037.72494,220
216,392,22044.004226,216
216,501,22052.056538,216
217,319,22056.717005,217
280,1143,22074.863373,280
241,846,22088.232352,241
281,601,22098.138486,281
232,690,22108.917842,232
231,530,22117.068916,231
200,204,22346.410724,200
239,742,22359.396055,239
210,454,22366.857071,210
629,1062,22384.621091,629
238,747,22397.706701,238
283,615,22408.582757,283
239,653,22419.653224,239
240,613,22430.137656,240
239,563,22439.342838,239
236,499,22447.820838,236
241,1123,22467.035685,241
229,468,22475.153583,229
291,1043,22492.694019,291
240,833,22506.432011,240
196,419,22514.079413,196
233,861,22528.012739,233
239,861,22542.681758,239
244,365,22549.042463,244
290,840,22562.70692,290
217,569,22572.820902,217
238,701,22584.023093,238
241,1053,22602.345708,241
11,40,22602.892272,11
290,1514,22628.861295,290
225,499,22637.788605,225
229,568,22647.331706,229
241,1432,22671.493088,241
287,625,22682.363624,287
19,61,22683.848381,19
19,39,22684.313535,19
19,48,22684.839806,19
221,647,22696.129001,221
103,427,22704.104432,103
724,588,22713.794202,724
289,842,22728.527447,289
226,558,22737.842315,226
285,651,22749.074155,285
289,756,22762.32535,289
291,679,22774.384302,291
239,785,22787.881693,239
178,483,22795.481694,178
235,610,22806.132916,235
288,1294,22828.420468,288
199,1184,22849.775151,199
203,616,22859.735927,203
240,1213,22880.781461,240
270,602,22891.490245,270
241,656,22902.513685,241
238,617,22912.945058,238
287,523,22921.77553,287
28,251,22926.321275,28
25,305,22931.419056,25
25,190,22934.405571,25
32,565,22944.921743,32
0,60,22945.602464,0
0,75,22947.322106,0
0,66,22948.123091,0
0,72,22949.727758,0
0,69,22951.288347,0
0,75,22952.147551,0
0,60,22953.670115,0
0,63,22954.345814,0
0,86,22956.171989,0
0,75,22957.085417,0
0,60,22958.554613,0
0,92,22960.450559,0
0,93,22961.55553,0
0,73,22963.120509,0
0,90,22964.956668,0
0,100,22966.181835,0
0,91,22968.019291,0
0,96,22969.82201,0
0,57,22970.552296,0
0,124,22972.761047,0
0,94,22974.606251,0
0,83,22976.255856,0
0,65,22977.101691,0
0,86,22978.834812,0
0,82,22979.799273,0
0,66,22981.322471,0
0,108,22983.313852,0
0,66,22984.10419,0
0,66,22985.664334,0
0,132,22988.029023,0
0,66,22988.789887,0
0,85,22990.629435,0
0,139,22992.989835,0
0,92,22994.880327,0
0,48,22995.433462,0
0,114,22997.577969,0
0,59,22999.071064,0
0,102,23000.230997,0
0,54,23001.712409,0
0,82,23002.61759,0
0,59,23004.113557,0
0,50,23004.715806,0
0,122,23006.90818,0
0,60,23008.450971,0
0,104,23009.659478,0
0,65,23011.140513,0
0,69,23011.972141,0
0,75,23013.567191,0
0,77,23015.240806,0
0,44,23015.739621,0
0,35,23016.169484,0
0,69,23017.704324,0
0,117,23019.821342,0
0,39,23020.260507,0
0,29,23020.626091,0
0,83,23022.308354,0
0,47,23022.849034,0
0,80,23024.538001,0
0,70,23025.46402,0
0,82,23027.085058,0
0,69,23028.67738,0
0,85,23029.734167,0
0,59,23031.12035,0
0,52,23031.797391,0
0,122,23034.013535,0
0,66,23035.517601,0
0,58,23036.252622,0
0,69,23037.738582,0
0,84,23038.775924,0
0,111,23040.837608,0
0,63,23042.208794,0
0,112,23044.272305,0
0,50,23044.932164,0
0,67,23045.67636,0
0,95,23047.577805,0
0,90,23049.506744,0
0,84,23051.306239,0
0,112,23052.579408,0
0,41,23053.886948,0
103,1773,23085.037374,103
167,470,23092.711114,167
194,448,23100.664553,194
230,356,23106.967602,230
213,346,23112.193598,213
240,403,23118.855366,240
287,748,23131.644834,287
209,241,23135.872211,209
348,276,23140.486986,348
88,442,23148.506408,88
111,316,23153.640136,111
75,673,23165.145603,75
112,278,23170.637016,112
128,497,23179.304145,128
150,1427,23203.808925,150
232,815,23217.529837,232
166,433,23224.599867,166
286,786,23238.766946,286
224,735,23250.849892,224
310,505,23259.612958,310
215,393,23266.275829,215
731,1052,23284.938314,731
213,524,23293.884875,213
728,815,23307.436787,728
241,701,23318.88286,241
693,993,23335.472424,693
129,332,23341.090217,129
241,738,23353.539902,241
207,436,23360.494432,207
241,720,23372.420838,241
291,767,23384.689302,291
249,457,23391.763169,249
266,449,23399.375911,266
184,409,23406.10567,184
287,794,23419.014627,287
237,413,23425.621728,237
223,344,23431.457733,223
184,631,23441.851902,184
291,647,23452.092002,291
283,576,23461.048356,283
236,1258,23481.510585,236
212,416,23488.815861,212
340,1153,23507.217815,340
51,149,23509.747452,51
290,1010,23527.081771,290
237,455,23534.577802,237
44,264,23539.217362,44
20,429,23547.192709,20
1,26,23547.521956,1
1,18,23547.791841,1
1,20,23548.073475,1
1,21,23548.300078,1
1,38,23549.410973,1
