#{"t_start": 1589166625.5407844, "env_id": null}
r,l,t,score
43,188,1573.479358,43
62,320,1578.593451,62
102,836,1592.897632,102
66,810,1606.576738,66
22,99,1608.508027,22
96,495,1617.122014,96
62,703,1629.002155,62
65,387,1635.638719,65
112,1705,1664.456359,112
95,812,1679.000048,95
75,369,1685.529116,75
106,1155,1705.272928,106
9,43,1705.756625,9
58,640,1716.853969,58
49,245,1721.059979,49
109,630,1731.948274,109
34,312,1737.147714,34
72,614,1747.94975,72
47,1071,1766.062431,47
35,354,1772.264578,35
25,291,1777.0082,25
55,198,1780.707747,55
53,228,1784.872863,53
60,234,1789.075684,60
21,72,1789.858602,21
37,269,1794.487787,37
49,714,1807.222886,49
26,68,1807.98226,26
84,346,1814.185112,84
72,415,1821.164011,72
13,667,1833.542065,13
15,838,1847.761822,15
34,584,1858.080347,34
37,1551,1884.947678,37
51,919,1900.615737,51
55,466,1908.765068,55
74,511,1917.423378,74
61,612,1927.304243,61
21,146,1930.323895,21
75,589,1939.954177,75
100,393,1946.528528,100
74,714,1959.054616,74
24,87,1960.111415,24
72,349,1966.231441,72
88,1201,1986.755552,88
41,422,1993.819266,41
45,486,2002.373585,45
86,699,2013.954513,86
108,1220,2034.813007,108
57,872,2049.165929,57
65,468,2057.336027,65
43,239,2061.546031,43
77,1047,2078.936682,77
53,236,2083.083545,53
112,1862,2114.834562,112
100,894,2129.963711,100
71,415,2137.000689,71
43,93,2138.796768,43
70,371,2144.687008,70
118,1467,2170.184254,118
56,217,2174.186544,56
121,1009,2190.810232,121
69,250,2195.197707,69
65,386,2201.803193,65
31,399,2209.197531,31
101,1172,2228.869505,101
12,36,2229.313402,12
36,169,2231.972024,36
138,1159,2251.603281,138
62,486,2260.157472,62
45,273,2264.717425,45
50,455,2272.865789,50
99,805,2286.284513,99
55,1267,2308.118147,55
60,254,2312.479016,60
64,530,2321.620579,64
32,160,2324.189767,32
45,549,2334.182607,45
67,983,2350.656624,67
26,77,2352.183634,26
89,621,2363.053677,89
44,245,2367.389451,44
58,374,2373.889296,58
47,307,2378.896055,47
134,1627,2406.932882,134
42,94,2408.079,42
102,472,2416.3218,102
71,713,2428.960123,71
89,606,2438.730849,89
66,263,2444.164914,66
151,1384,2467.104836,151
115,1291,2488.978939,115
65,254,2493.298103,65
84,588,2503.739024,84
131,1109,2522.938639,131
48,381,2529.496085,48
133,1162,2549.331252,133
86,542,2558.441062,86
34,1309,2580.77671,34
143,1627,2608.03835,143
56,518,2616.88175,56
85,464,2625.179651,85
57,829,2639.17701,57
41,367,2645.562489,41
57,178,2648.344945,57
71,638,2659.322569,71
47,312,2665.016394,47
17,266,2669.525743,17
38,266,2673.982362,38
71,774,2687.101634,71
71,665,2698.36134,71
28,493,2707.0114,28
62,400,2713.691168,62
102,1700,2742.359918,102
88,260,2746.779926,88
104,2698,2793.038607,104
79,372,2799.606977,79
190,1795,2830.222925,190
106,838,2844.643847,106
87,821,2858.403332,87
57,385,2865.093794,57
88,402,2872.60279,88
98,985,2889.11673,98
56,510,2897.91727,56
100,594,2908.231723,100
111,689,2919.794579,111
93,382,2926.167498,93
55,243,2930.399197,55
95,586,2940.697987,95
41,344,2946.067325,41
80,536,2955.975693,80
70,345,2961.331731,70
110,1054,2979.83573,110
52,200,2982.941006,52
111,1006,2999.818444,111
57,994,3017.077149,57
132,1402,3041.41127,132
56,1410,3066.23401,56
52,300,3071.234493,52
55,486,3079.942286,55
75,599,3089.827876,75
99,745,3102.725169,99
118,1066,3121.571378,118
50,151,3124.06386,50
73,302,3129.054234,73
51,140,3131.473468,51
76,340,3137.541635,76
16,78,3139.260306,16
76,315,3144.192913,76
64,364,3150.673775,64
55,204,3153.827269,55
95,1356,3177.418064,95
38,82,3179.173137,38
80,437,3186.301804,80
93,605,3197.143328,93
118,1031,3214.874503,118
121,463,3222.349865,121
52,139,3225.323461,52
38,94,3226.450164,38
85,518,3235.302996,85
70,279,3240.618912,70
77,624,3250.925833,77
82,380,3257.611181,82
82,618,3268.576784,82
68,231,3272.790068,68
80,287,3277.556482,80
128,1941,3310.332686,128
79,216,3314.1359,79
53,408,3321.067193,53
89,420,3328.64633,89
64,486,3336.340251,64
94,347,3342.349847,94
131,1194,3362.485595,131
82,473,3370.902804,82
94,299,3375.794307,94
130,828,3390.376358,130
191,691,3401.833942,191
129,1384,3425.780827,129
87,756,3438.768385,87
29,66,3440.226626,29
139,943,3456.087988,139
67,357,3462.793093,67
66,614,3473.050267,66
52,295,3478.854233,52
65,609,3489.666003,65
46,159,3492.29794,46
93,964,3508.452017,93
117,929,3525.001371,117
111,884,3539.689075,111
86,333,3545.789087,86
82,307,3550.790486,82
109,513,3559.54125,109
32,468,3567.876943,32
39,534,3577.015564,39
23,109,3579.021209,23
105,806,3592.819865,105
32,260,3597.270622,32
34,49,3598.594429,34
148,1163,3618.4062,148
60,1038,3636.145022,60
32,120,3638.291765,32
58,1032,3655.820023,58
126,1155,3675.192411,126
66,1083,3694.212652,66
67,278,3698.824688,67
131,1040,3716.307113,131
102,479,3724.70329,102
103,456,3732.004532,103
150,919,3747.653938,150
109,1123,3767.190269,109
92,494,3775.748418,92
49,230,3779.916711,49
117,1059,3797.972044,117
61,221,3802.065549,61
96,497,3810.600849,96
100,1170,3830.490748,100
104,771,3843.758272,104
177,1704,3872.590066,177
88,571,3882.695396,88
36,65,3883.463745,36
66,249,3887.836528,66
61,311,3892.898923,61
86,385,3899.53827,86
58,170,3903.064669,58
82,374,3909.600963,82
90,453,3916.934357,90
135,2027,3950.418171,135
83,490,3958.715551,83
92,819,3971.433304,92
94,409,3978.518645,94
103,617,3987.672069,103
101,364,3993.513382,101
62,211,3996.928164,62
122,734,4256.347146,122
78,362,4262.023144,78
71,540,4271.986817,71
162,1265,4294.15502,162
88,390,4301.050637,88
140,1033,4318.878792,140
112,843,4332.83654,112
137,872,4347.708755,137
40,115,4349.797888,40
107,626,4360.600358,107
55,307,4365.588994,55
44,140,4368.076047,44
44,879,4383.612384,44
50,620,4394.440098,50
74,457,4402.630828,74
58,402,4409.526086,58
76,307,4414.439334,76
146,1299,4436.483394,146
61,907,4452.31472,61
52,384,4459.11925,52
145,1006,4476.617176,145
65,348,4482.748608,65
162,595,4493.040596,162
76,303,4497.981,76
106,277,4502.633746,106
105,409,4509.634583,105
157,703,4522.075291,157
149,618,4532.668889,149
110,415,4539.486487,110
102,868,4554.457241,102
82,232,4557.879734,82
112,385,4564.455938,112
102,579,4574.661092,102
96,2519,4617.890167,96
92,495,4626.422038,92
49,604,4636.455122,49
47,445,4644.448949,47
77,472,4652.204155,77
69,464,4660.300051,69
105,411,4667.304655,105
83,666,4678.495955,83
89,444,4686.205337,89
75,519,4695.176291,75
112,847,4710.041672,112
80,531,4718.901771,80
140,705,4730.548784,140
117,499,4739.068263,117
149,1261,4760.572772,149
81,1446,4785.449029,81
0,79,4787.180987,0
0,54,4787.790313,0
0,81,4789.458623,0
0,69,4791.040774,0
0,54,4791.643345,0
0,83,4793.456835,0
39,686,4805.179908,39
76,1031,4823.036814,76
60,254,4827.348566,60
118,771,4840.42833,118
76,377,4846.990312,76
107,537,4856.126822,107
84,263,4860.568041,84
112,713,4872.818242,112
122,854,4886.988098,122
148,646,4897.913213,148
86,614,4908.601035,86
64,366,4915.123594,64
58,469,4923.307811,58
94,418,4930.296505,94
142,680,4941.780782,142
57,83,4943.583291,57
106,627,4954.523023,106
126,1019,4971.926766,126
18,88,4973.706546,18
73,652,4984.789117,73
80,248,4989.004827,80
69,1039,5006.578779,69
74,749,5019.556942,74
91,590,5029.287693,91
112,734,5041.935187,112
89,430,5048.948813,89
155,1183,5069.693602,155
217,1374,5092.405474,217
130,660,5103.615124,130
107,1423,5128.857281,107
190,1556,5155.269117,190
88,297,5160.002064,88
92,1273,5181.985939,92
125,640,5193.057731,125
131,783,5206.505533,131
183,843,5221.331512,183
47,166,5224.061078,47
116,845,5238.787523,116
87,689,5250.266449,87
141,784,5263.624904,141
165,932,5279.24125,165
140,355,5285.305266,140
87,316,5291.163687,87
143,362,5296.86061,143
100,339,5302.865549,100
118,475,5310.964018,118
119,1902,5343.436479,119
11,217,5346.922438,11
123,604,5357.361857,123
115,534,5366.538918,115
115,283,5371.354471,115
88,470,5379.514717,88
151,524,5388.212194,151
109,1813,5419.171583,109
63,234,5423.430238,63
129,1875,5456.206341,129
150,757,5469.115182,150
126,553,5478.417595,126
86,347,5484.829225,86
123,679,5496.240268,123
135,664,5507.623525,135
195,779,5521.042367,195
179,1242,5541.975602,179
160,732,5554.594921,160
111,862,5568.881418,111
70,300,5573.657353,70
158,767,5586.317289,158
186,304,5591.107969,186
211,935,5606.712262,211
103,686,5617.842848,103
41,500,5626.477983,41
76,198,5629.391887,76
54,111,5631.352418,54
39,191,5634.873461,39
68,266,5639.293266,68
219,786,5652.474562,219
97,370,5658.949368,97
213,1683,5686.094186,213
125,899,5700.700894,125
79,195,5704.342167,79
100,572,5713.405069,100
150,593,5723.653929,150
55,132,5725.906291,55
26,214,5729.050605,26
65,286,5734.377679,65
19,158,5736.845545,19
123,758,5749.456585,123
0,77,5750.334484,0
0,65,5751.780378,0
0,85,5752.748356,0
75,278,5758.030144,75
44,351,5763.304155,44
0,62,5764.796561,0
99,906,5779.616106,99
75,775,5792.66222,75
91,310,5797.526224,91
165,787,5810.816652,165
110,592,5819.749455,110
56,127,5821.938752,56
170,709,5834.215486,170
91,641,5845.347281,91
161,891,5860.639066,161
78,443,5868.073197,78
142,455,5876.306532,142
91,351,5881.885738,91
140,972,5898.721841,140
91,436,5906.191306,91
133,493,5914.820187,133
128,1467,5940.386903,128
73,188,5943.308635,73
224,1754,5973.859553,224
133,558,5983.262054,133
40,463,5991.745582,40
86,762,6005.231228,86
112,475,6013.780434,112
68,314,6018.888793,68
151,972,6036.297243,151
102,239,6040.574578,102
78,776,6054.240654,78
114,378,6060.897156,114
164,733,6072.980674,164
177,1450,6098.959465,177
110,562,6108.807018,110
148,1298,6131.216552,148
206,1332,6154.717693,206
81,486,6162.593802,81
142,328,6168.663869,142
179,796,6182.524396,179
196,1051,6200.695521,196
82,210,6204.575183,82
108,513,6213.580925,108
188,1129,6233.491385,188
160,584,6243.228014,160
152,319,6249.338822,152
167,401,6256.159289,167
128,465,6264.635982,128
67,422,6271.850762,67
108,528,6281.092651,108
93,554,6290.562488,93
109,622,6301.739328,109
100,359,6308.250634,100
107,374,6314.926254,107
110,243,6319.321913,110
126,614,6330.455165,126
103,326,6335.895227,103
88,486,6344.657552,88
165,833,6359.113717,165
128,1173,6380.607971,128
172,1803,6412.779164,172
121,496,6421.534572,121
90,233,6425.011448,90
191,1913,6458.389465,191
61,125,6460.657087,61
130,651,6472.184364,130
134,1066,6491.180347,134
91,545,6500.438215,91
124,533,6509.612083,124
76,153,6512.2399,76
147,1188,6533.434111,147
86,225,6536.903867,86
184,807,6551.317901,184
133,831,6565.466656,133
182,919,6581.123142,182
130,405,6588.845542,130
101,429,6596.372848,101
93,348,6602.803873,93
76,258,6607.374664,76
175,1040,6625.690812,175
65,1061,6644.358894,65
3,35,6644.761638,3
10,406,6652.653559,10
69,176,6655.530733,69
118,756,6668.909132,118
164,1868,6701.265326,164
106,612,6712.147988,106
131,355,6718.537728,131
123,676,6730.106957,123
69,1597,6759.012385,69
116,413,6766.173532,116
162,968,6782.692612,162
163,948,6799.992735,163
210,879,6815.444412,210
165,565,6824.820204,165
82,359,6831.318727,82
14,76,6832.977959,14
12,406,6839.947708,12
3,24,6840.267681,3
5,74,6841.834261,5
4,42,6842.420414,4
3,39,6842.91734,3
3,88,6844.777492,3
3,22,6845.064106,3
4,505,6854.192162,4
2,25,6854.485051,2
3,480,6863.384166,3
2,44,6863.877114,2
2,60,6865.495331,2
3,96,6866.551143,3
3,50,6868.017162,3
2,62,6868.693879,2
2,41,6870.065888,2
2,96,6871.14255,2
2,81,6872.909199,2
2,70,6874.585543,2
3,106,6875.92331,3
3,91,6877.789896,3
5,112,6879.921921,5
11,220,6884.132208,11
2,45,6884.712962,2
5,279,6889.685794,5
3,569,6900.389862,3
5,175,6903.232212,5
12,372,6909.950756,12
29,91,6911.739812,29
46,800,6925.841866,46
69,943,6942.408901,69
75,740,6955.611786,75
132,783,6969.248811,132
70,357,6975.697548,70
72,207,6979.71684,72
105,206,6982.976088,105
147,472,6991.74149,147
111,379,6998.421858,111
76,240,7002.838742,76
127,334,7008.153193,127
171,853,7023.112948,171
98,264,7027.71884,98
193,1105,7046.772832,193
127,846,7060.990107,127
126,696,7073.783591,126
87,282,7078.561419,87
135,858,7094.182019,135
177,819,7108.418803,177
84,530,7117.70516,84
49,397,7124.550055,49
23,63,7125.979322,23
77,279,7130.644389,77
168,1699,7160.052361,168
123,490,7168.818751,123
13,75,7170.51908,13
117,452,7178.068654,117
117,611,7188.930458,117
110,467,7197.346999,110
147,1533,7224.446923,147
45,231,7227.977213,45
123,464,7236.490002,123
148,555,7245.911024,148
264,724,7258.725411,264
251,865,7273.800879,251
129,286,7278.603656,129
118,253,7282.999336,118
150,1454,7307.880777,150
115,542,7317.690458,115
155,540,7326.962901,155
112,289,7331.881443,112
105,915,7347.872815,105
49,616,7358.944893,49
146,613,7369.668659,146
210,1024,7387.25135,210
172,676,7398.615181,172
118,336,7404.83439,118
97,246,7409.293802,97
71,220,7412.688236,71
193,424,7420.770369,193
162,372,7427.340926,162
103,332,7432.794255,103
109,598,7443.75053,109
228,1183,7464.391692,228
104,600,7475.208399,104
154,635,7486.348275,154
106,228,7489.731972,106
146,888,7505.356908,146
218,1178,7526.88437,218
137,704,7538.785816,137
225,969,7555.926859,225
181,397,7562.814327,181
226,513,7572.000851,226
53,285,7576.973736,53
22,90,7578.787153,22
65,196,7581.978659,65
68,640,7593.324315,68
96,649,7604.831524,96
103,562,7615.38961,103
242,1783,7647.24922,242
124,615,7657.493647,124
213,1308,7680.95437,213
55,1867,7713.652778,55
46,714,7726.850233,46
43,702,7739.126818,43
80,563,7749.644143,80
154,580,7759.631195,154
60,397,7766.747521,60
103,363,7773.413822,103
139,741,7786.737986,139
89,640,7798.115311,89
110,915,7814.144741,110
210,762,7827.395418,210
108,399,7834.359401,108
165,630,7845.771108,165
218,1175,7866.335275,218
158,630,7877.430659,158
151,483,7886.158811,151
215,882,7901.645909,215
48,756,7915.404124,48
72,328,7920.751497,72
59,883,7936.354704,59
134,243,7940.758552,134
95,291,7945.812878,95
163,936,7963.007457,163
150,357,7969.247809,150
155,390,7976.069687,155
103,233,7979.575563,103
199,902,7995.108279,199
165,287,8000.670872,165
208,905,8016.432536,208
151,303,8021.395755,151
155,448,8029.524705,155
208,1719,8058.717593,208
147,376,8065.376083,147
147,463,8073.895355,147
127,618,8084.093458,127
260,1085,8103.402316,260
208,1010,8120.935636,208
194,815,8134.992904,194
211,606,8145.64211,211
198,334,8151.859113,198
149,283,8156.810775,149
169,703,8168.660898,169
125,732,8181.84902,125
182,1248,8204.752198,182
94,386,8211.586119,94
55,410,8218.942789,55
91,312,8224.137186,91
187,1998,8259.430559,187
65,483,8268.170271,65
74,529,8277.532248,74
207,1220,8298.339019,207
161,687,8310.782405,161
91,169,8313.493331,91
84,269,8318.178929,84
153,684,8330.723967,153
186,524,8339.710158,186
143,314,8345.006433,143
106,557,8354.561372,106
194,598,8365.134539,194
155,454,8373.341408,155
13,253,8377.929966,13
5,242,8382.414175,5
10,498,8390.646572,10
4,95,8392.557988,4
4,166,8395.253988,4
10,291,8400.905608,10
82,943,8417.059799,82
193,1403,8440.699658,193
91,711,8453.109591,91
47,357,8458.535473,47
60,362,8464.692011,60
35,1354,8487.672314,35
45,411,8494.505392,45
45,290,8499.268188,45
60,353,8505.243299,60
110,1257,8526.629832,110
161,592,8536.37542,161
90,351,8542.543521,90
214,1417,8564.50155,214
146,2999,8823.788347,146
154,1000,8841.259773,154
157,617,8851.263974,157
150,1413,8875.475053,150
106,204,8879.19047,106
134,474,8887.440974,134
187,405,8894.154948,187
153,679,8905.485976,153
143,402,8912.275792,143
198,1089,8931.102912,198
117,558,8940.476955,117
211,1224,8961.526697,211
161,1213,8981.973106,161
136,348,8988.191345,136
161,798,9001.464099,161
90,372,9008.155089,90
164,847,9023.464735,164
156,340,9028.910032,156
154,812,9043.330772,154
195,305,9048.334217,195
223,810,9061.869336,223
195,779,9074.96436,195
39,326,9081.012828,39
21,350,9087.404997,21
3,53,9088.071876,3
2,22,9088.317438,2
3,24,9089.363374,3
2,28,9089.71779,2
2,49,9090.282645,2
2,51,9091.600533,2
2,26,9091.933602,2
2,26,9092.272166,2
2,33,9092.623265,2
1,17,9092.83755,1
2,56,9094.29328,2
2,42,9094.780201,2
40,346,9101.121561,40
40,787,9114.745083,40
48,531,9123.915225,48
126,543,9133.398244,126
211,543,9143.157767,211
229,940,9158.563448,229
199,426,9165.569312,199
220,1184,9185.395813,220
120,1362,9209.430959,120
149,991,9226.525675,149
210,987,9243.619166,210
175,1069,9261.629358,175
106,456,9269.679195,106
150,889,9284.31601,150
159,304,9289.978807,159
150,774,9303.39573,150
173,1094,9321.518989,173
225,718,9334.144487,225
161,734,9347.013639,161
222,795,9360.393923,222
79,328,9366.473185,79
84,674,9378.001954,84
222,684,9389.350779,222
226,935,9405.08729,226
140,226,9409.284824,140
192,998,9426.641686,192
120,189,9429.525908,120
138,316,9435.563425,138
195,956,9451.490458,195
214,568,9461.564029,214
41,258,9466.079158,41
1,37,9466.523498,1
13,517,9475.742679,13
0,66,9477.230974,0
0,90,9478.354459,0
0,61,9479.820206,0
0,77,9481.460927,0
0,59,9482.260662,0
0,160,9484.902482,0
0,125,9487.158719,0
0,82,9488.897598,0
0,43,9489.332685,0
0,130,9491.557946,0
0,51,9492.817671,0
0,62,9493.597696,0
0,54,9494.209517,0
0,42,9495.484622,0
0,66,9496.182153,0
0,72,9497.778021,0
0,45,9498.256447,0
0,41,9499.396003,0
17,650,9510.574068,17
140,775,9523.945759,140
145,575,9533.661898,145
184,655,9544.871229,184
161,812,9559.180319,161
54,152,9561.685009,54
204,931,9577.293324,204
209,1382,9600.879933,209
148,500,9609.528878,148
190,760,9622.386379,190
201,435,9629.459466,201
200,723,9641.858474,200
213,622,9652.729635,213
96,201,9655.738025,96
213,437,9663.824403,213
107,609,9674.079673,107
222,1719,9703.234283,222
204,1265,9725.221949,204
208,1081,9743.278258,208
133,356,9749.4248,133
240,446,9756.740969,240
117,249,9761.084922,117
164,375,9767.62972,164
266,652,9778.729885,266
62,82,9780.382385,62
286,1130,9799.944376,286
59,784,9813.614893,59
100,827,9827.760841,100
23,556,9837.806975,23
15,141,9840.119094,15
19,114,9842.139777,19
42,309,9847.142691,42
19,343,9853.292618,19
136,365,9859.640174,136
200,730,9871.662581,200
127,344,9877.755076,127
148,363,9884.204852,148
204,847,9899.138667,204
114,241,9902.612097,114
219,1112,9921.770609,219
166,948,9938.262002,166
163,727,9950.484847,163
202,560,9960.632157,202
236,991,9976.99856,236
245,1051,9995.583797,245
211,677,10006.734683,211
157,853,10020.931088,157
92,266,10025.167529,92
233,1025,10041.69252,233
223,1271,10062.459516,223
274,1337,10083.541415,274
106,199,10087.164369,106
159,2286,10123.727558,159
54,220,10127.654642,54
95,726,10140.126028,95
143,539,10149.143584,143
67,95,10150.950306,67
141,263,10155.464752,141
147,637,10166.126912,147
188,582,10175.134114,188
127,551,10184.790477,127
92,1421,10207.728467,92
87,760,10220.717464,87
12,357,10226.381861,12
133,623,10237.428874,133
92,718,10250.027019,92
55,487,10258.596546,55
75,691,10270.267455,75
65,301,10275.249012,65
201,695,10287.661618,201
80,583,10297.547079,80
48,198,10301.259937,48
76,477,10309.869752,76
186,486,10318.304153,186
144,701,10329.94978,144
90,608,10340.736458,90
154,555,10350.057246,154
190,691,10361.742167,190
143,464,10370.164485,143
92,186,10373.735873,92
61,105,10374.99556,61
214,778,10387.915111,214
192,856,10402.946971,192
255,591,10413.469057,255
72,124,10415.636026,72
84,244,10419.964839,84
188,822,10433.54832,188
217,908,10448.978032,217
213,703,10461.395123,213
111,692,10473.243454,111
173,1038,10490.87873,173
226,1008,10508.2851,226
201,1210,10528.735094,201
286,1378,10551.849229,286
120,443,10559.948168,120
0,79,10560.810373,0
0,105,10562.811592,0
0,64,10564.359282,0
0,47,10564.867021,0
12,488,10573.61901,12
0,76,10574.520553,0
0,62,10575.969448,0
0,65,10576.808276,0
0,63,10578.243393,0
0,53,10578.926239,0
0,93,10580.777921,0
0,56,10581.432076,0
0,73,10582.994682,0
0,36,10583.448727,0
0,60,10584.887706,0
0,57,10585.578541,0
0,72,10587.133269,0
0,47,10587.689451,0
0,52,10588.998733,0
0,45,10589.556201,0
0,97,10591.409789,0
0,96,10592.540082,0
26,721,10605.592927,26
0,45,10606.067178,0
27,144,10609.405842,27
49,1081,10628.136001,49
46,580,10638.670412,46
0,72,10639.540994,0
114,1636,10667.952118,114
130,838,10681.913251,130
203,915,10698.61381,203
174,402,10705.459543,174
262,822,10719.207629,262
88,342,10725.47607,88
229,1129,10744.531353,229
164,392,10751.178732,164
231,1072,10768.952701,231
90,165,10771.66671,90
71,985,10789.1448,71
36,563,10798.828152,36
0,71,10800.33772,0
0,51,10801.008744,0
0,66,10802.470173,0
0,62,10803.295686,0
0,66,10804.822897,0
0,88,10806.563368,0
0,61,10807.360681,0
0,105,10809.322814,0
0,72,10810.164613,0
0,77,10811.894288,0
0,54,10812.479211,0
0,57,10813.914588,0
