#{"t_start": 1595900860.7994876, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
-152.0,35,237.128787,8,2,2,0,0,data/map1.bmp
-163.0,35,237.42616,0,4,1,0,0,data/map1.bmp
-183.5,253,240.192222,18,4,1,0,0,data/map2.bmp
-150.5,22,240.430135,3,4,1,0,0,data/map1.bmp
-147.5,95,241.515019,16,4,1,0,0,data/map2.bmp
-235.0,613,247.698532,47,1,1,0,0,data/map2.bmp
-246.0,797,255.764599,57,1,1,0,0,data/map2.bmp
-165.5,391,259.89252,59,4,0,0,0,data/map2.bmp
-156.5,209,261.864757,34,4,0,0,0,data/map2.bmp
-151.5,48,262.590019,10,4,2,0,0,data/map1.bmp
-159.0,40,262.908408,1,2,2,0,0,data/map1.bmp
-159.5,72,263.810144,10,4,1,0,0,data/map1.bmp
-163.0,111,265.081485,13,1,1,0,0,data/map1.bmp
-267.5,682,271.572073,38,1,1,0,0,data/map2.bmp
-155.0,15,271.718219,0,4,2,0,0,data/map1.bmp
-149.5,8,271.805376,1,4,2,0,0,data/map1.bmp
-150.5,17,271.935344,1,4,1,0,0,data/map1.bmp
-154.0,22,272.096305,0,4,2,0,0,data/map1.bmp
-176.0,668,278.95066,82,1,1,0,0,data/map2.bmp
-137.0,344,282.213987,54,2,1,0,0,data/map2.bmp
-135.0,222,284.413913,45,4,1,0,0,data/map2.bmp
-128.0,197,286.698021,43,4,1,0,0,data/map2.bmp
-143.0,304,289.833447,45,4,1,0,0,data/map2.bmp
-163.5,40,290.19557,0,2,2,0,0,data/map1.bmp
-152.5,229,292.723419,39,4,1,0,0,data/map2.bmp
-180.5,94,293.76892,4,4,1,0,0,data/map1.bmp
-145.5,134,295.215991,19,4,2,0,0,data/map2.bmp
-181.5,333,298.506888,46,4,0,0,0,data/map2.bmp
-115.5,449,303.328677,108,4,0,0,0,data/map2.bmp
-153.0,46,303.705916,7,4,1,0,0,data/map1.bmp
-152.0,456,308.603791,56,2,1,0,0,data/map2.bmp
-141.5,88,309.678882,18,4,1,0,0,data/map2.bmp
-149.5,9,309.807922,1,4,2,0,0,data/map1.bmp
-149.5,18,309.953095,3,2,2,0,0,data/map1.bmp
-151.0,11,310.044114,1,4,2,0,0,data/map1.bmp
-152.0,15,310.167123,2,4,1,0,0,data/map1.bmp
-298.0,977,319.893461,67,1,1,0,0,data/map2.bmp
-163.0,46,320.309066,0,4,2,0,0,data/map1.bmp
-181.5,672,327.443803,72,4,0,0,0,data/map2.bmp
-157.0,231,329.90844,24,4,0,0,0,data/map2.bmp
-171.5,117,331.358248,6,4,0,0,0,data/map1.bmp
-194.0,222,333.790345,3,1,1,0,0,data/map1.bmp
-164.5,365,337.906399,53,4,0,0,0,data/map2.bmp
-149.0,76,338.592176,14,4,0,0,0,data/map1.bmp
-157.5,234,341.07044,36,4,1,0,0,data/map2.bmp
-173.5,264,343.917412,29,4,1,0,0,data/map2.bmp
-164.0,53,344.43409,0,4,2,0,0,data/map1.bmp
-186.0,152,346.167413,9,1,1,0,0,data/map1.bmp
-148.0,178,347.910146,13,4,2,0,0,data/map2.bmp
-195.5,135,349.277273,0,4,1,0,0,data/map1.bmp
-196.0,587,355.549147,81,1,1,0,0,data/map1.bmp
-149.0,138,357.006444,23,4,1,0,0,data/map2.bmp
-243.0,357,360.588918,24,1,1,0,0,data/map1.bmp
-142.5,98,361.719919,15,4,2,0,0,data/map2.bmp
-299.0,449,366.325876,9,1,1,0,0,data/map1.bmp
-143.5,119,367.66236,29,4,1,0,0,data/map2.bmp
-231.5,553,373.455196,49,1,1,0,0,data/map1.bmp
-152.5,30,373.735039,1,2,2,0,0,data/map1.bmp
-148.0,43,374.349906,7,4,2,0,0,data/map1.bmp
-151.5,130,375.642429,12,4,0,0,0,data/map2.bmp
-212.0,889,384.497211,92,1,1,0,0,data/map2.bmp
-248.5,571,390.336334,40,2,1,0,0,data/map2.bmp
-164.5,81,391.382788,4,2,2,0,0,data/map1.bmp
-151.5,108,392.266691,18,4,1,0,0,data/map2.bmp
-92.0,104,393.500356,77,4,2,0,0,data/map2.bmp
-172.5,62,394.302683,0,2,2,0,0,data/map1.bmp
-252.5,1694,410.807059,61,1,1,0,0,data/map2.bmp
-166.5,37,411.104933,0,2,2,0,0,data/map1.bmp
-154.5,15,411.266757,0,4,2,0,0,data/map1.bmp
-127.0,317,414.651705,29,4,0,0,0,data/map2.bmp
-156.0,14,414.749574,0,4,2,0,0,data/map1.bmp
-144.0,507,420.092992,32,4,0,0,0,data/map2.bmp
-122.5,250,422.77507,31,4,1,0,0,data/map2.bmp
-132.5,404,426.815478,29,2,1,0,0,data/map2.bmp
-162.5,38,427.106887,0,4,2,0,0,data/map1.bmp
-157.0,358,430.834553,32,2,1,0,0,data/map2.bmp
-222.0,278,433.998816,14,4,0,0,0,data/map1.bmp
-130.0,244,436.593446,26,4,2,0,0,data/map2.bmp
-131.0,352,440.491992,30,4,1,0,0,data/map2.bmp
-150.0,41,440.822215,7,2,2,0,0,data/map1.bmp
-332.0,410,445.52042,1,1,1,0,0,data/map1.bmp
-195.0,115,446.507399,0,4,2,0,0,data/map1.bmp
-132.5,154,448.288741,27,4,2,0,0,data/map2.bmp
-170.5,63,448.891399,0,4,2,0,0,data/map1.bmp
-246.0,266,451.729273,1,4,0,0,0,data/map1.bmp
-185.0,737,459.29402,31,2,1,0,0,data/map2.bmp
-163.5,52,459.725214,0,4,2,0,0,data/map1.bmp
-156.5,407,464.304262,28,4,1,0,0,data/map2.bmp
-170.0,74,464.971566,1,4,2,0,0,data/map1.bmp
-178.0,759,472.837348,52,1,1,0,0,data/map2.bmp
-159.0,44,473.207573,0,2,2,0,0,data/map1.bmp
-129.0,220,475.676727,38,4,0,0,0,data/map2.bmp
-156.5,43,476.13483,1,4,1,0,0,data/map1.bmp
-232.0,388,480.276691,13,4,0,0,0,data/map1.bmp
-163.5,50,481.069127,0,2,2,0,0,data/map1.bmp
-152.0,39,481.416789,4,2,2,0,0,data/map1.bmp
-139.5,152,482.929778,31,4,2,0,0,data/map2.bmp
-152.5,26,483.407728,2,4,2,0,0,data/map1.bmp
-205.5,214,485.552841,12,4,1,0,0,data/map1.bmp
-154.0,361,489.360574,29,4,1,0,0,data/map2.bmp
-148.5,511,494.56404,42,1,1,0,0,data/map2.bmp
-174.5,83,495.620209,0,4,1,0,0,data/map1.bmp
-159.5,50,496.063097,2,2,2,0,0,data/map1.bmp
-153.0,683,502.613185,67,2,1,0,0,data/map2.bmp
-132.0,224,504.969449,32,2,1,0,0,data/map2.bmp
-124.0,134,506.438279,41,4,2,0,0,data/map2.bmp
-155.0,24,506.674716,0,4,1,0,0,data/map1.bmp
-159.5,35,507.334561,0,4,1,0,0,data/map1.bmp
-150.5,805,515.024131,61,1,1,0,0,data/map2.bmp
-155.5,15,515.166518,0,4,2,0,0,data/map1.bmp
-157.5,24,515.386637,0,4,2,0,0,data/map1.bmp
-291.5,682,523.326716,40,4,0,0,0,data/map1.bmp
-124.5,208,525.415169,36,4,1,0,0,data/map2.bmp
-148.5,40,526.037202,8,2,2,0,0,data/map1.bmp
-136.5,277,529.076244,17,4,0,0,0,data/map2.bmp
-143.0,174,530.836069,19,4,2,0,0,data/map2.bmp
-174.5,83,531.85922,3,4,1,0,0,data/map1.bmp
-130.5,190,533.859845,42,4,0,0,0,data/map2.bmp
-150.0,414,538.279358,38,4,1,0,0,data/map2.bmp
-183.0,87,539.297129,0,4,0,0,0,data/map1.bmp
-159.0,561,544.929181,87,2,1,0,0,data/map2.bmp
-163.5,206,547.176533,38,1,1,0,0,data/map1.bmp
-220.5,475,552.344579,44,4,0,0,0,data/map1.bmp
-25.5,123,553.615526,135,4,2,0,0,data/map2.bmp
-141.5,380,557.559281,43,2,1,0,0,data/map2.bmp
-136.0,192,559.513388,22,2,1,0,0,data/map2.bmp
-151.0,23,559.692124,2,4,2,0,0,data/map1.bmp
-184.0,191,562.030113,11,4,1,0,0,data/map1.bmp
-219.5,744,569.372159,76,1,1,0,0,data/map1.bmp
-223.5,764,577.292031,50,4,0,0,0,data/map2.bmp
-116.0,287,580.201569,60,4,1,0,0,data/map2.bmp
-224.5,993,590.417845,103,1,1,0,0,data/map1.bmp
-167.0,958,599.762419,39,2,1,0,0,data/map2.bmp
-159.5,49,600.500651,1,2,2,0,0,data/map1.bmp
-133.5,835,608.980171,46,4,0,0,0,data/map2.bmp
-193.0,137,610.634533,0,4,1,0,0,data/map1.bmp
-130.5,411,614.914248,33,2,1,0,0,data/map2.bmp
-165.5,66,615.68191,4,4,2,0,0,data/map1.bmp
-203.5,309,618.93641,27,4,0,0,0,data/map1.bmp
-133.0,1426,633.098961,35,1,1,0,0,data/map2.bmp
-120.0,231,635.597218,36,4,0,0,0,data/map2.bmp
-127.5,1775,653.385463,34,2,1,0,0,data/map2.bmp
-124.5,262,656.096691,37,2,1,0,0,data/map2.bmp
-153.5,78,657.080477,14,4,1,0,0,data/map1.bmp
-290.5,642,663.914541,34,1,1,0,0,data/map1.bmp
-129.5,423,668.155627,31,2,1,0,0,data/map2.bmp
-170.0,91,669.150333,0,2,2,0,0,data/map1.bmp
-206.0,690,676.034548,79,1,1,0,0,data/map1.bmp
-115.5,718,683.393534,51,1,1,0,0,data/map2.bmp
-136.0,344,686.744867,44,4,2,0,0,data/map2.bmp
-182.5,224,689.138508,24,4,1,0,0,data/map1.bmp
-145.0,999,699.241149,26,1,1,0,0,data/map2.bmp
-129.0,361,703.185652,25,4,2,0,0,data/map2.bmp
-131.0,83,704.184768,26,4,2,0,0,data/map1.bmp
-216.5,978,713.55095,59,1,1,0,0,data/map1.bmp
-114.0,191,715.56692,40,4,1,0,0,data/map2.bmp
-169.5,124,716.884767,14,4,0,0,0,data/map1.bmp
