#{"t_start": 1608296931.5065482, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
740.0,324,481.34451,795,4,0,1,0,data/map2.bmp
756.0,658,490.041892,810,4,0,1,0,data/map1.bmp
859.5,337,494.729275,874,1,1,1,0,data/map1.bmp
98.5,289,498.515928,250,4,1,0,0,data/map2.bmp
-161.0,1505,518.335282,307,2,1,0,0,data/map2.bmp
1007.0,348,522.770216,1090,4,1,1,0,data/map2.bmp
523.0,578,530.775811,744,2,1,1,0,data/map2.bmp
796.0,495,537.689974,910,4,0,1,0,data/map2.bmp
830.0,295,541.438954,832,1,1,1,0,data/map1.bmp
391.5,1146,556.356202,630,1,1,1,0,data/map2.bmp
924.0,328,561.041821,1026,4,2,1,0,data/map1.bmp
114.5,579,568.512461,308,4,1,0,0,data/map2.bmp
796.5,308,572.468924,898,4,0,1,0,data/map2.bmp
238.5,413,578.472035,391,4,0,0,0,data/map1.bmp
753.5,403,583.551625,811,1,1,1,0,data/map1.bmp
974.5,330,587.710188,975,2,2,1,0,data/map1.bmp
746.0,290,591.785967,751,1,1,1,0,data/map2.bmp
823,342,595.969568,823,1,1,1,0,data/map1.bmp
827.0,784,606.295922,885,4,0,1,0,data/map1.bmp
802.5,281,610.381685,853,4,0,1,0,data/map2.bmp
1126,329,614.656734,1126,4,2,1,0,data/map1.bmp
808.0,253,618.081577,809,4,2,1,0,data/map2.bmp
869.0,331,622.849601,875,4,0,1,0,data/map1.bmp
919,360,627.714544,919,2,2,1,0,data/map1.bmp
937.0,519,634.762743,1038,4,2,1,0,data/map1.bmp
808.5,412,640.424819,809,4,0,1,0,data/map1.bmp
703,284,644.135147,753,4,1,1,0,data/map2.bmp
1007.5,419,649.759224,1058,2,2,1,0,data/map1.bmp
803,284,653.887049,803,4,0,1,0,data/map2.bmp
928,319,657.996968,928,2,2,1,0,data/map1.bmp
931,303,661.859242,981,2,2,1,0,data/map1.bmp
754.5,270,665.719482,755,2,1,1,0,data/map2.bmp
919,363,670.391229,1019,4,1,1,0,data/map1.bmp
750.5,289,674.497601,752,4,0,1,0,data/map2.bmp
750.0,390,679.807546,813,4,1,1,0,data/map1.bmp
737,274,683.366215,787,1,1,1,0,data/map1.bmp
56.0,359,688.153127,209,4,2,0,0,data/map2.bmp
54.0,384,693.180166,209,4,1,0,0,data/map2.bmp
435.5,301,697.201662,586,4,2,0,0,data/map1.bmp
873.5,325,701.871658,926,4,1,1,0,data/map1.bmp
881.5,288,705.580381,884,1,1,1,0,data/map1.bmp
847.0,280,709.317796,853,4,0,1,0,data/map2.bmp
720.0,383,714.383517,783,4,0,1,0,data/map2.bmp
870.0,350,719.297328,871,4,0,1,0,data/map1.bmp
858,258,722.614998,858,2,1,1,0,data/map2.bmp
879.5,303,726.547283,981,2,2,1,0,data/map1.bmp
828,317,730.605267,828,1,1,1,0,data/map1.bmp
749.0,295,734.226604,750,1,1,1,0,data/map2.bmp
287.0,315,738.40802,438,4,2,0,0,data/map1.bmp
825.0,328,742.917767,826,1,1,1,0,data/map1.bmp
742,339,747.634244,742,4,0,1,0,data/map2.bmp
981.5,286,751.608263,1034,4,0,1,0,data/map1.bmp
327,254,755.165414,477,4,2,0,0,data/map1.bmp
805.0,261,758.494848,807,2,1,1,0,data/map2.bmp
905.5,266,761.993277,906,4,1,1,0,data/map2.bmp
335.0,322,766.219529,487,4,2,0,0,data/map1.bmp
53.0,302,770.461612,207,4,1,0,0,data/map2.bmp
786,279,774.187048,786,4,1,1,0,data/map1.bmp
827.0,312,778.306744,929,4,1,1,0,data/map1.bmp
806.5,407,784.400778,910,4,1,1,0,data/map1.bmp
209,304,788.237422,359,4,2,0,0,data/map2.bmp
238.0,370,793.243299,390,4,1,0,0,data/map1.bmp
785.0,279,796.85438,786,1,1,1,0,data/map1.bmp
698,306,800.753055,798,4,2,1,0,data/map2.bmp
168.5,316,805.372758,320,4,1,0,0,data/map1.bmp
898.5,294,809.135725,951,4,0,1,0,data/map2.bmp
843.5,316,813.560283,846,4,0,1,0,data/map2.bmp
175.0,310,817.704495,327,4,1,0,0,data/map1.bmp
